frame,seconds,phase,engine_frame_ms,COO.ZoneRenderer.LateUpdate,COO.Input.Update,Main Thread,GC Allocated In Frame,Draw Calls Count,Triangles Count,SetPass Calls Count,Render Textures Count,Render Textures Bytes,Texture Memory,GPU Frame Time
0,0.001283,idle,3.784623,939542,13375,3711667,29353,231,669681,51,45,197105184,328738362,1625125
1,0.005024,idle,4.014045,925833,10000,4000416,30507,231,669681,51,45,197105184,328738362,1683458
2,0.008586,idle,3.487287,909000,11333,3492667,29417,231,669681,51,45,197105184,328738362,1603500
3,0.012316,idle,3.829712,910750,17875,3778541,29353,231,669681,51,45,197105184,328738362,1582375
4,0.015845,idle,3.329578,902750,13000,3414333,29289,231,669681,51,45,197105184,328738362,1598041
5,0.019536,idle,3.848958,960292,14666,3689208,29417,231,669681,51,45,197105184,328738362,1789541
6,0.022905,idle,3.322293,927333,11000,3455791,29353,231,669681,51,45,197105184,328738362,1661916
7,0.026647,idle,3.780251,920375,13750,3734916,29289,231,669681,51,45,197105184,328738362,1795541
8,0.030249,idle,3.642581,922417,13541,3673500,29417,231,669681,51,45,197105184,328738362,1649666
9,0.033515,idle,3.149171,904334,10542,3163542,29353,231,669681,51,45,197105184,328738362,1635250
10,0.037458,idle,4.047959,883375,11333,3947916,29289,231,669681,51,45,197105184,328738362,1552791
11,0.040771,idle,3.366667,903834,10875,3371375,29417,231,669681,51,45,197105184,328738362,1608000
12,0.045281,idle,4.564250,870042,9250,4602334,39779,231,669681,51,45,197105184,328738362,1636375
13,0.048677,idle,3.435665,835375,9500,3664917,37565,230,669679,51,45,197105184,328738362,1620874
14,0.051932,idle,3.090710,819125,7542,2833459,29417,230,669679,51,45,197105184,328738362,1805083
15,0.055236,idle,3.297541,946667,10083,3335750,29353,230,669679,51,45,197105184,328738362,962874
16,0.058212,idle,3.000291,864250,10250,3063500,29289,230,669679,51,45,197105184,328738362,1717749
17,0.061815,idle,3.635459,908666,16875,3550083,29417,230,669679,51,45,197105184,328738362,2319791
18,0.065104,idle,3.249001,880000,12667,3299916,29353,230,669679,51,45,197105184,328738362,1623583
19,0.068471,idle,3.399121,908583,11541,3386875,29289,230,669679,51,45,197105184,328738362,1620374
20,0.071685,idle,3.277253,854416,11875,3259875,29417,230,669679,51,45,197105184,328738362,1614583
21,0.074566,idle,2.759538,852666,10625,2886417,29353,230,669679,51,45,197105184,328738362,1633166
22,0.078395,idle,3.884297,848750,10166,3742708,29289,230,669679,51,45,197105184,328738362,1564375
