frame,seconds,phase,engine_frame_ms,COO.ZoneRenderer.LateUpdate,COO.Input.Update,Main Thread,GC Allocated In Frame,Draw Calls Count,Triangles Count,SetPass Calls Count,Render Textures Count,Render Textures Bytes,Texture Memory,GPU Frame Time
0,0.001302,idle,4.841086,1009042,19875,5733916,59116,229,669677,51,45,197105184,328738226,1624416
1,0.005203,idle,4.268332,862000,12791,4268459,41171,230,669679,51,45,197105184,328738226,1733583
2,0.008725,idle,3.603919,953541,10708,3510625,30785,230,669679,51,45,197105184,328738226,1703041
3,0.011636,idle,2.886494,864958,12208,3003042,29377,230,669679,51,45,197105184,328738226,960874
4,0.015139,idle,3.358709,857333,15500,3065042,29313,230,669679,51,45,197105184,328738226,1707166
5,0.018897,idle,3.793587,966917,15000,3858833,29441,230,669679,51,45,197105184,328738226,2414499
6,0.022521,idle,3.568537,924791,11958,3744208,29377,230,669679,51,45,197105184,328738226,1654249
7,0.026176,idle,3.763627,1014458,14375,3635750,29313,230,669679,51,45,197105184,328738226,1778583
8,0.029866,idle,3.766085,892542,14667,3752917,29441,230,669679,51,45,197105184,328738226,1656875
9,0.033437,idle,3.414746,896833,11083,3480541,29377,230,669679,51,45,197105184,328738226,1761583
10,0.036885,idle,3.493459,916125,12625,3505458,29701,230,669679,51,45,197105184,328738226,1670749
11,0.040518,idle,3.576793,932250,15250,3387041,29441,231,669681,51,45,197105184,328738226,1640124
12,0.043941,idle,3.560417,934375,12917,3695084,29377,231,669681,51,45,197105184,328738226,1630875
13,0.047282,idle,3.179252,890667,13834,3272250,29313,231,669681,51,45,197105184,328738226,1794124
14,0.050769,idle,3.654500,1023958,18875,3414125,29441,231,669681,51,45,197105184,328738226,1681249
15,0.054119,idle,3.327041,898292,11833,3453875,29377,231,669681,51,45,197105184,328738226,1669833
16,0.057843,idle,3.764335,925875,12167,3752500,29313,231,669681,51,45,197105184,328738226,1854833
17,0.061526,idle,3.515958,880459,12750,3446750,29441,231,669681,51,45,197105184,328738226,1623041
18,0.065201,idle,3.800376,951666,14792,3829667,29377,231,669681,51,45,197105184,328738226,1914500
19,0.068612,idle,3.389789,912375,11666,3426375,29313,231,669681,51,45,197105184,328738226,1630083
20,0.071898,idle,3.274334,893917,13416,3311917,29441,231,669681,51,45,197105184,328738226,1861958
21,0.075386,idle,3.510665,930167,12209,3523292,29377,231,669681,51,45,197105184,328738226,1683000
22,0.078779,idle,3.184042,881833,18708,3203416,29313,231,669681,51,45,197105184,328738226,1645249
23,0.082523,idle,4.030166,954666,17000,3836292,29441,231,669681,51,45,197105184,328738226,1836500
24,0.085462,idle,2.938379,869250,11375,3151500,29377,231,669681,51,45,197105184,328738226,1646333
