phase,unityFrame,seconds,EnvSprites_ns,ZoneRenderer_ns,InputIdle_ns,MainThread_ns,GC_bytes
0,17,0.81710579099999947,0,0,0,0,0
0,18,0.8330465000000018,0,80542,125,16955292,479231
0,19,0.84944516599999886,0,73917,0,16202084,487437
0,20,0.86621929100000017,0,82416,83,16997625,501199
0,21,0.88259166599999972,0,74209,42,16385750,515013
0,22,0.89933279099999908,0,71833,0,16305209,481761
0,23,0.91668308299999879,0,74958,42,17678500,487983
0,24,0.93287504099999907,0,78916,0,16117042,446151
0,25,0.94956758300000033,0,86792,125,16791125,487437
0,26,0.96590695800000148,0,75042,41,16379708,501199
0,27,0.98294154099999886,0,74083,41,16883166,514961
0,28,0.99948745800000083,0,91416,42,16701792,528723
0,29,1.0160286660000004,0,68292,42,16493041,501399
0,30,1.0329238750000016,0,76666,41,16904292,528723
0,31,1.0494368750000014,0,73916,42,16304333,509285
0,32,1.0659546659999997,0,69416,41,16779792,549515
0,33,1.0826340829999985,0,70792,0,16685041,542537
0,34,1.0992967080000007,0,71875,41,16591917,545583
0,35,1.1161432910000002,0,68292,41,16907083,556447
0,36,1.1325487910000014,0,70209,83,16383291,542485
0,37,1.1494152080000006,0,67542,42,16898625,542485
0,38,1.1660265410000008,0,66666,0,16598583,542485
0,39,1.1827702080000009,0,67625,83,16689458,542485
0,40,1.1994200829999997,0,67000,42,16386416,536809
0,41,1.215900541,0,62917,41,16803000,556953
0,42,1.2326226250000012,0,63917,42,16692542,556247
0,43,1.2491425830000011,0,65333,42,16599292,556247
0,44,1.2659259160000005,0,57084,167,16795500,556247
0,45,1.2824544160000002,0,57084,125,16399209,542537
0,46,1.299295665999999,0,72375,41,16801292,556247
0,47,1.3162069999999986,0,68125,42,16900792,542685
0,48,1.3325150410000006,0,75792,42,16381083,528723
0,49,1.3494395409999989,0,66833,83,16598750,526145
0,50,1.3659270409999991,0,73875,125,16794292,549515
0,51,1.3826020410000019,0,63500,166,16689333,556247
0,52,1.399206207999999,0,64250,83,16592000,556247
0,53,1.4159366660000003,0,58958,167,16698708,556447
0,54,1.4327151250000014,0,64167,83,16691417,528723
0,55,1.4491697079999994,0,73209,0,16492667,514961
0,56,1.4661138330000014,0,71167,42,16989292,542485
0,57,1.4827532910000016,0,68166,208,16603333,542537
0,58,1.4996147909999991,0,75208,42,16591833,536809
0,59,1.5157932500000015,0,64000,83,16497458,543031
0,60,1.5323599160000008,0,64125,42,16598500,556247
0,61,1.5492994160000002,0,64791,83,16896500,570009
0,62,1.5661485410000004,0,62709,0,16794333,556247
0,63,1.5824619999999996,0,72167,41,16302500,528723
0,64,1.5995888329999985,0,72917,42,16985417,559345
0,65,1.6158694579999988,0,70333,42,16406292,528923
0,66,1.6326876659999989,0,67708,0,16781125,542485
0,67,1.6500266659999987,0,75708,83,17095209,550571
0,68,1.6658186659999998,0,70625,41,16097875,508229
0,69,1.6825512499999995,0,65500,41,16696125,542537
