phase,unityFrame,seconds,EnvSprites_ns,ZoneRenderer_ns,InputIdle_ns,MainThread_ns,GC_bytes
0,17,0.80792874999999853,0,0,0,0,0
0,18,0.82357154099999974,0,79292,42,16674208,379799
0,19,0.84004704100000183,0,78125,41,16391917,435487
0,20,0.85703470800000048,0,79792,0,16984416,501199
0,21,0.873455332999999,0,82542,42,16413416,473727
0,22,0.8904312499999989,0,78459,125,16582959,481761
0,23,0.90699366600000175,0,79667,42,16986583,515507
0,24,0.9236952080000016,0,77917,84,16694666,514961
0,25,0.94033308299999874,0,78000,0,16588875,501199
0,26,0.95708850000000112,0,88250,0,16709667,473675
0,27,0.97361454099999989,0,92666,42,16596000,459913
0,28,0.99046162500000179,0,77333,42,16784167,502343
0,29,1.0067252079999989,0,79250,41,16298834,446351
0,30,1.0233729159999996,0,86958,42,16688625,501199
0,31,1.040414375000001,0,82667,0,16803917,509285
0,32,1.0568381249999987,0,82417,42,16676250,535753
0,33,1.0733245000000018,0,78417,41,16488917,487489
0,34,1.0902992500000011,0,74417,42,16907791,531821
0,35,1.1067537079999994,0,76541,42,16513917,501399
0,36,1.123446125000001,0,71417,42,16669708,514961
0,37,1.1399522500000003,0,78250,41,16521375,514961
0,38,1.1567435410000009,0,72709,42,16770292,542485
0,39,1.1733636250000004,0,75875,42,16587833,542485
0,40,1.1907617080000001,0,77833,42,17003166,536809
0,41,1.206796208,0,78917,42,16488500,515667
0,42,1.2235532910000018,0,72291,41,16794042,556247
0,43,1.2402578750000011,0,74459,0,16698000,556247
0,44,1.2567291249999997,0,66917,42,16398625,542485
0,45,1.2734976660000008,0,76125,0,16595125,528775
0,46,1.2900975000000017,0,108208,0,16695208,542485
0,47,1.3070465410000018,0,75750,83,17003417,542685
0,48,1.3232361250000011,0,71417,83,16280667,542485
0,49,1.340516333,0,63791,42,16991167,567431
0,50,1.3568423329999995,0,66292,42,16503459,549515
0,51,1.3733969160000008,0,73334,42,16586625,542485
0,52,1.3901054160000008,0,74959,0,16698209,556247
0,53,1.4066779999999994,0,69792,42,16597000,542685
0,54,1.4232398750000002,0,71375,42,16588833,556247
0,55,1.4399378330000019,0,63334,42,16696500,556247
0,56,1.456961500000002,0,69958,42,16897917,556247
0,57,1.4732972080000017,0,76750,42,16392583,515013
0,58,1.4907805409999995,0,71250,42,17093500,536809
0,59,1.5067255410000016,0,71583,83,16297458,515507
0,60,1.5233802909999987,0,69417,41,16689375,556247
0,61,1.5399385000000017,0,71250,0,16592250,556247
0,62,1.5566296659999992,0,64833,42,16701000,556247
0,63,1.5735615000000003,0,63833,0,16600583,253483
0,64,1.5902429160000011,0,128250,0,16712709,143387
0,65,1.606706250000002,0,96917,0,16674750,284305
0,66,1.6235950000000017,0,75875,42,16884417,556247
