phase,unityFrame,seconds,EnvSprites_ns,ZoneRenderer_ns,InputIdle_ns,MainThread_ns,GC_bytes
0,17,0.863354165999997,0,0,0,0,0
0,18,0.87848512499999742,0,77375,41,16250125,462371
0,19,0.89546895799999859,0,74333,42,16804458,501199
0,20,0.91191704099999882,0,76708,41,16568667,487637
0,21,0.92851079099999723,0,78583,41,16503875,487489
0,22,0.94589620799999707,0,96333,0,17298833,461267
0,23,0.9619280830000001,0,78500,0,16198125,459913
0,24,0.97848087499999892,0,73583,42,16594708,487437
0,25,0.99520037499999958,0,76750,41,16680916,487437
0,26,1.0124516660000005,0,75959,0,16981583,515161
0,27,1.0286906659999993,0,72041,41,16495250,473675
0,28,1.0454785829999977,0,82084,42,16596625,446151
0,29,1.0618052909999989,0,95458,42,16503500,501199
0,30,1.0784959159999978,0,73333,83,16694250,528723
0,31,1.0952476659999988,0,78750,0,16405750,512383
0,32,1.1116876249999983,0,74792,42,16799500,529269
0,33,1.1283308329999997,0,78417,41,16677417,542537
0,34,1.1455755829999994,0,69500,0,16994833,542485
0,35,1.1618514999999974,0,72000,42,16491000,514961
0,36,1.1784090409999983,0,78166,42,16595875,542485
0,37,1.1954407499999995,0,68250,41,16894208,556247
0,38,1.211769125,0,69375,42,16406125,529083
0,39,1.2286758750000004,0,77959,0,16878333,542485
0,40,1.2454813329999972,0,73250,0,16523833,523047
0,41,1.2618393749999974,0,76667,42,16670375,521991
0,42,1.2784639579999997,0,73625,0,16697333,556247
0,43,1.295264207999999,0,64459,0,16696000,556247
0,44,1.3116619159999985,0,70875,41,16404167,542685
0,45,1.3284994579999996,0,70416,0,16795417,528775
0,46,1.3455272909999998,0,76500,42,16897167,531821
0,47,1.3620949160000002,0,76916,42,16581458,528723
0,48,1.3783614580000005,0,78292,41,16389208,514961
0,49,1.3955835830000005,0,77041,41,16799083,523047
0,50,1.4117844159999997,0,77625,42,16596500,515507
0,51,1.4287175829999974,0,73209,42,16890709,514961
0,52,1.4451182500000002,0,78125,42,16391666,514961
0,53,1.4622514579999972,0,77959,0,17076042,556247
0,54,1.4786165409999974,0,71958,0,16516625,542485
0,55,1.4952626659999986,0,67791,167,16590333,542485
0,56,1.5118929159999972,0,73250,42,16598375,528923
0,57,1.5293720409999985,0,78250,42,17184833,212249
0,58,1.5484467080000002,0,121750,42,18623541,102101
0,59,1.561858291,0,76042,42,14173833,419981
0,60,1.5786812499999989,0,72000,41,16777375,556247
0,61,1.5956472909999988,0,76541,83,16697708,542485
0,62,1.6118612910000003,0,74625,41,16487083,532021
0,63,1.6284566249999983,0,75875,42,16601875,542485
0,64,1.6452269999999984,0,72041,125,16795083,556247
0,65,1.661882833,0,67625,0,16606000,528723
0,66,1.678776457999998,0,74792,0,16784333,514961
0,67,1.6956346660000001,0,76000,0,16700459,528723
0,68,1.7121488330000005,0,74083,0,16765417,530277
0,69,1.7286092909999979,0,70000,41,16516541,542537
0,70,1.7451824999999985,0,65667,41,16596208,542485
0,71,1.7619286659999993,0,64292,42,16700416,556247
0,72,1.7784224579999979,0,66583,42,16496875,542485
0,73,1.7953107499999987,0,69834,41,16793541,556247
0,74,1.8122809999999987,0,68458,42,16876000,542685
0,75,1.8286217909999998,0,71667,0,16415292,528723
0,76,1.845569458,0,72916,42,16807000,542485
0,77,1.861877707999998,0,73084,41,16476250,519413
0,78,1.878612540999999,0,77041,0,16693958,528723
0,79,1.8953014159999988,0,72625,0,16700000,542485
0,80,1.912211499999998,0,70917,0,16860250,556447
0,81,1.9286501659999971,0,67333,167,16529958,542537
0,82,1.9456214999999979,0,66333,41,16698375,542485
0,83,1.9617602909999974,0,73250,0,16395750,514961
0,84,1.9789229999999982,0,75541,0,16893000,514961
0,85,1.9956309999999995,0,75917,42,16690709,542485
0,86,2.011941041,0,76292,41,16600333,530277
0,87,2.0283623330000005,0,72084,42,16490542,542485
0,88,2.0451037079999992,0,67208,41,16697416,556247
0,89,2.0617726249999997,0,67500,42,16689250,556247
0,90,2.0783327499999977,0,71583,0,16500209,542485
0,91,2.0956084999999973,0,71542,42,16994417,542485
0,92,2.1120093749999995,0,69667,0,16589625,528923
0,93,2.1283948749999979,0,70209,0,16398875,531873
0,94,2.145218749999998,0,76167,42,16895333,542485
0,95,2.1622333749999996,0,67792,83,16858958,543839
0,96,2.1788677909999983,0,69083,42,16535209,542485
0,97,2.1951889579999992,0,72041,42,16497542,528723
0,98,2.2122661659999991,0,70625,42,16705291,528923
0,99,2.2285695829999987,0,106333,42,16679584,501199
0,100,2.2450185410000003,0,73750,41,16490667,542485
0,101,2.2617994999999986,0,68708,42,16789375,556247
0,102,2.2783696659999997,0,68375,0,16504584,528723
0,103,2.2952788749999975,0,82083,42,16785125,514961
0,104,2.3119627909999991,0,78208,0,16810625,516515
