case_index,spell_id,label,presentation_tick,presentation_seconds,file
0,"Pyromancy_Kindle","Kindle",0,0.0000,"frames/00-00.png"
0,"Pyromancy_Kindle","Kindle",6,0.1000,"frames/00-06.png"
0,"Pyromancy_Kindle","Kindle",12,0.2000,"frames/00-12.png"
0,"Pyromancy_Kindle","Kindle",18,0.3000,"frames/00-18.png"
0,"Pyromancy_Kindle","Kindle",27,0.4500,"frames/00-27.png"
0,"Pyromancy_Kindle","Kindle",39,0.6500,"frames/00-39.png"
1,"Pyromancy_EmberVein","Ember Vein",0,0.0000,"frames/01-00.png"
1,"Pyromancy_EmberVein","Ember Vein",6,0.1000,"frames/01-06.png"
1,"Pyromancy_EmberVein","Ember Vein",12,0.2000,"frames/01-12.png"
1,"Pyromancy_EmberVein","Ember Vein",18,0.3000,"frames/01-18.png"
1,"Pyromancy_EmberVein","Ember Vein",27,0.4500,"frames/01-27.png"
1,"Pyromancy_EmberVein","Ember Vein",39,0.6500,"frames/01-39.png"
2,"Hydromancy_JetBlast","Jet Blast",0,0.0000,"frames/02-00.png"
2,"Hydromancy_JetBlast","Jet Blast",6,0.1000,"frames/02-06.png"
2,"Hydromancy_JetBlast","Jet Blast",12,0.2000,"frames/02-12.png"
2,"Hydromancy_JetBlast","Jet Blast",18,0.3000,"frames/02-18.png"
2,"Hydromancy_JetBlast","Jet Blast",27,0.4500,"frames/02-27.png"
2,"Hydromancy_JetBlast","Jet Blast",39,0.6500,"frames/02-39.png"
3,"Hydromancy_DrenchLob","Drench Lob",0,0.0000,"frames/03-00.png"
3,"Hydromancy_DrenchLob","Drench Lob",6,0.1000,"frames/03-06.png"
3,"Hydromancy_DrenchLob","Drench Lob",12,0.2000,"frames/03-12.png"
3,"Hydromancy_DrenchLob","Drench Lob",18,0.3000,"frames/03-18.png"
3,"Hydromancy_DrenchLob","Drench Lob",27,0.4500,"frames/03-27.png"
3,"Hydromancy_DrenchLob","Drench Lob",39,0.6500,"frames/03-39.png"
4,"Galvanism_Thunderclap","Thunderclap",0,0.0000,"frames/04-00.png"
4,"Galvanism_Thunderclap","Thunderclap",6,0.1000,"frames/04-06.png"
4,"Galvanism_Thunderclap","Thunderclap",12,0.2000,"frames/04-12.png"
4,"Galvanism_Thunderclap","Thunderclap",18,0.3000,"frames/04-18.png"
4,"Galvanism_Thunderclap","Thunderclap",27,0.4500,"frames/04-27.png"
4,"Galvanism_Thunderclap","Thunderclap",39,0.6500,"frames/04-39.png"
5,"Cryomancy_GlacialWall","Glacial Wall",0,0.0000,"frames/05-00.png"
5,"Cryomancy_GlacialWall","Glacial Wall",6,0.1000,"frames/05-06.png"
5,"Cryomancy_GlacialWall","Glacial Wall",12,0.2000,"frames/05-12.png"
5,"Cryomancy_GlacialWall","Glacial Wall",18,0.3000,"frames/05-18.png"
5,"Cryomancy_GlacialWall","Glacial Wall",27,0.4500,"frames/05-27.png"
5,"Cryomancy_GlacialWall","Glacial Wall",39,0.6500,"frames/05-39.png"
6,"Spellcraft_WardGleam","Ward Gleam",0,0.0000,"frames/06-00.png"
6,"Spellcraft_WardGleam","Ward Gleam",6,0.1000,"frames/06-06.png"
6,"Spellcraft_WardGleam","Ward Gleam",12,0.2000,"frames/06-12.png"
6,"Spellcraft_WardGleam","Ward Gleam",18,0.3000,"frames/06-18.png"
6,"Spellcraft_WardGleam","Ward Gleam",27,0.4500,"frames/06-27.png"
6,"Spellcraft_WardGleam","Ward Gleam",39,0.6500,"frames/06-39.png"
7,"Rites_BloodletterLedger","Rite of the Bloodletter's Ledger · fed marks",0,0.0000,"frames/07-00.png"
7,"Rites_BloodletterLedger","Rite of the Bloodletter's Ledger · fed marks",6,0.1000,"frames/07-06.png"
7,"Rites_BloodletterLedger","Rite of the Bloodletter's Ledger · fed marks",12,0.2000,"frames/07-12.png"
7,"Rites_BloodletterLedger","Rite of the Bloodletter's Ledger · fed marks",18,0.3000,"frames/07-18.png"
7,"Rites_BloodletterLedger","Rite of the Bloodletter's Ledger · fed marks",27,0.4500,"frames/07-27.png"
7,"Rites_BloodletterLedger","Rite of the Bloodletter's Ledger · fed marks",39,0.6500,"frames/07-39.png"
8,"Corrosion_AcidSpray","Acid Spray",0,0.0000,"frames/08-00.png"
8,"Corrosion_AcidSpray","Acid Spray",6,0.1000,"frames/08-06.png"
8,"Corrosion_AcidSpray","Acid Spray",12,0.2000,"frames/08-12.png"
8,"Corrosion_AcidSpray","Acid Spray",18,0.3000,"frames/08-18.png"
8,"Corrosion_AcidSpray","Acid Spray",27,0.4500,"frames/08-27.png"
8,"Corrosion_AcidSpray","Acid Spray",39,0.6500,"frames/08-39.png"
18,"Galvanism_GroundSurge","Ground Surge",0,0.0000,"frames/18-00.png"
18,"Galvanism_GroundSurge","Ground Surge",6,0.1000,"frames/18-06.png"
18,"Galvanism_GroundSurge","Ground Surge",12,0.2000,"frames/18-12.png"
18,"Galvanism_GroundSurge","Ground Surge",18,0.3000,"frames/18-18.png"
18,"Galvanism_GroundSurge","Ground Surge",27,0.4500,"frames/18-27.png"
18,"Galvanism_GroundSurge","Ground Surge",39,0.6500,"frames/18-39.png"
19,"Galvanism_Overload","Overload",0,0.0000,"frames/19-00.png"
19,"Galvanism_Overload","Overload",6,0.1000,"frames/19-06.png"
19,"Galvanism_Overload","Overload",12,0.2000,"frames/19-12.png"
19,"Galvanism_Overload","Overload",18,0.3000,"frames/19-18.png"
19,"Galvanism_Overload","Overload",27,0.4500,"frames/19-27.png"
19,"Galvanism_Overload","Overload",39,0.6500,"frames/19-39.png"
49,"Rites_BloodletterLedger","Rite of the Bloodletter's Ledger · zero marks",0,0.0000,"frames/49-00.png"
49,"Rites_BloodletterLedger","Rite of the Bloodletter's Ledger · zero marks",6,0.1000,"frames/49-06.png"
49,"Rites_BloodletterLedger","Rite of the Bloodletter's Ledger · zero marks",12,0.2000,"frames/49-12.png"
