case_index,spell_id,label,accepted,peak_live_sprites,end_live_sprites,end_scheduled_atoms,end_blocking,initial_update_ms,mean_tick_update_ms,max_tick_update_ms,presentation_steps,actor_tick_manual
0,"Pyromancy_Kindle","Kindle",True,11,0,0,False,0.098800,0.011502,0.058100,60,True
1,"Pyromancy_EmberVein","Ember Vein",True,30,0,0,False,0.056100,0.011865,0.085600,60,True
2,"Hydromancy_JetBlast","Jet Blast",True,41,0,0,False,0.070200,0.015657,0.095300,60,True
3,"Hydromancy_DrenchLob","Drench Lob",True,59,0,0,False,0.037900,0.012608,0.138500,60,True
4,"Galvanism_Thunderclap","Thunderclap",True,192,0,0,False,0.084400,0.043035,0.473300,60,True
5,"Cryomancy_GlacialWall","Glacial Wall",True,2,0,0,False,0.036400,0.002640,0.018100,60,True
6,"Spellcraft_WardGleam","Ward Gleam",True,2,0,0,False,0.038100,0.002798,0.018200,60,True
7,"Rites_BloodletterLedger","Rite of the Bloodletter's Ledger · fed marks",True,14,0,0,False,0.059200,0.010940,0.062100,60,True
8,"Corrosion_AcidSpray","Acid Spray",True,11,0,0,False,0.049400,0.007877,0.057800,60,True
18,"Galvanism_GroundSurge","Ground Surge",True,26,0,0,False,0.052400,0.012442,0.065000,60,True
19,"Galvanism_Overload","Overload",True,22,0,0,False,0.049600,0.010222,0.061400,60,True
49,"Rites_BloodletterLedger","Rite of the Bloodletter's Ledger · zero marks",True,10,0,0,False,0.054300,0.007600,0.036100,60,True
