frame,file,elapsed_seconds,unity_frame,unscaled_delta,seconds_since_cast,active_sprites,pooled_sprites,allocated_sprites,blocking,cast_count,accepted
0,frame-000.png,0.009406,10553,0.599779,-1.000000,0,192,192,False,0,False
1,frame-001.png,0.042901,10562,0.002667,-1.000000,0,192,192,False,0,False
2,frame-002.png,0.079504,10572,0.002979,-1.000000,0,192,192,False,0,False
3,frame-003.png,0.113612,10582,0.002696,-1.000000,0,192,192,False,0,False
4,frame-004.png,0.147095,10592,0.002938,-1.000000,0,192,192,False,0,False
5,frame-005.png,0.187855,10594,0.029667,0.032613,1,191,192,True,1,True
6,frame-006.png,0.222963,10604,0.002825,0.067721,1,191,192,True,1,True
7,frame-007.png,0.258058,10615,0.002690,0.102817,1,191,192,True,1,True
8,frame-008.png,0.293280,10626,0.002576,0.138039,1,191,192,True,1,True
9,frame-009.png,0.327002,10636,0.002667,0.171760,1,191,192,True,1,True
10,frame-010.png,0.362364,10647,0.003068,0.207123,1,191,192,True,1,True
11,frame-011.png,0.397759,10658,0.002558,0.242518,1,191,192,True,1,True
12,frame-012.png,0.432592,10669,0.002620,0.277350,7,185,192,True,1,True
13,frame-013.png,0.467905,10679,0.002587,0.312663,7,185,192,True,1,True
14,frame-014.png,0.501331,10689,0.002674,0.346089,30,162,192,True,1,True
15,frame-015.png,0.536086,10699,0.002795,0.380844,23,169,192,True,1,True
16,frame-016.png,0.570380,10709,0.003114,0.415138,23,169,192,True,1,True
17,frame-017.png,0.604624,10718,0.003305,0.449382,23,169,192,True,1,True
18,frame-018.png,0.639866,10727,0.003292,0.484625,23,169,192,True,1,True
19,frame-019.png,0.676148,10737,0.002992,0.520907,0,192,192,True,1,True
20,frame-020.png,0.710287,10747,0.002625,0.555046,0,192,192,True,1,True
21,frame-021.png,0.745247,10757,0.002768,0.590006,0,192,192,True,1,True
22,frame-022.png,0.780402,10767,0.003299,0.625160,0,192,192,True,1,True
23,frame-023.png,0.816093,10777,0.002971,0.660851,0,192,192,True,1,True
24,frame-024.png,0.852062,10788,0.002522,0.696820,0,192,192,True,1,True
25,frame-025.png,0.888133,10799,0.002953,0.732892,0,192,192,False,1,True
26,frame-026.png,0.922950,10809,0.003328,0.767708,0,192,192,False,1,True
27,frame-027.png,0.958669,10820,0.002582,0.803428,0,192,192,False,1,True
28,frame-028.png,0.994003,10831,0.002599,0.838762,0,192,192,False,1,True
29,frame-029.png,1.029358,10842,0.002953,0.874117,0,192,192,False,1,True
30,frame-030.png,1.064550,10853,0.002979,0.909308,0,192,192,False,1,True
31,frame-031.png,1.098856,10864,0.002409,0.943614,0,192,192,False,1,True
32,frame-032.png,1.133367,10875,0.002602,0.978126,0,192,192,False,1,True
33,frame-033.png,1.167351,10886,0.002783,1.012109,0,192,192,False,1,True
