mode,elapsed_seconds,phase_seconds,unity_frame,active_sprites,pooled_sprites,allocated_sprites,dropped_sprite_ticks,blocking,cast_count,accepted,gc_bytes_whole_frame,draw_calls_whole_frame,batches_whole_frame,triangles_whole_frame
Baseline,0.010730,0.010730,22042,0,192,192,13874,False,0,False,788476,0,0,0
Baseline,0.014893,0.014893,22043,0,192,192,13874,False,0,False,50689,114,114,11558
Baseline,0.018177,0.018177,22044,0,192,192,13874,False,0,False,32319,114,114,11558
Baseline,0.021102,0.021102,22045,0,192,192,13874,False,0,False,32319,114,114,11558
Baseline,0.024867,0.024867,22046,0,192,192,13874,False,0,False,32319,114,114,11558
Baseline,0.031739,0.031739,22047,0,192,192,13874,False,0,False,32319,114,114,11558
Baseline,0.035584,0.035584,22048,0,192,192,13874,False,0,False,32319,114,114,11558
Baseline,0.039248,0.039248,22049,0,192,192,13874,False,0,False,32707,114,114,11558
Baseline,0.045867,0.045867,22050,0,192,192,13874,False,0,False,32319,114,114,11558
Baseline,0.050015,0.050015,22051,0,192,192,13874,False,0,False,32319,114,114,11558
Baseline,0.053193,0.053193,22052,0,192,192,13874,False,0,False,32319,114,114,11558
Baseline,0.056913,0.056913,22053,0,192,192,13874,False,0,False,32319,114,114,11558
Baseline,0.063603,0.063603,22054,0,192,192,13874,False,0,False,32319,114,114,11558
Baseline,0.067741,0.067741,22055,0,192,192,13874,False,0,False,32319,114,114,11558
Baseline,0.071364,0.071364,22056,0,192,192,13874,False,0,False,32319,114,114,11558
Baseline,0.075298,0.075298,22057,0,192,192,13874,False,0,False,32319,113,113,11556
Baseline,0.078899,0.078899,22058,0,192,192,13874,False,0,False,32319,113,113,11556
Baseline,0.082694,0.082694,22059,0,192,192,13874,False,0,False,32319,113,113,11556
Baseline,0.085833,0.085833,22060,0,192,192,13874,False,0,False,32319,113,113,11556
Baseline,0.089104,0.089104,22061,0,192,192,13874,False,0,False,32465,113,113,11556
Baseline,0.092293,0.092293,22062,0,192,192,13874,False,0,False,32319,113,113,11556
Baseline,0.095132,0.095132,22063,0,192,192,13874,False,0,False,32319,113,113,11556
Baseline,0.098508,0.098508,22064,0,192,192,13874,False,0,False,32319,113,113,11556
Baseline,0.101886,0.101886,22065,0,192,192,13874,False,0,False,32319,113,113,11556
Baseline,0.105129,0.105129,22066,0,192,192,13874,False,0,False,32319,113,113,11556
Baseline,0.108576,0.108576,22067,0,192,192,13874,False,0,False,32319,113,113,11556
Baseline,0.111492,0.111492,22068,0,192,192,13874,False,0,False,32319,113,113,11556
Baseline,0.115042,0.115042,22069,0,192,192,13874,False,0,False,32319,113,113,11556
Baseline,0.118253,0.118253,22070,0,192,192,13874,False,0,False,32319,113,113,11556
Baseline,0.121495,0.121495,22071,0,192,192,13874,False,0,False,32319,113,113,11556
Baseline,0.124801,0.124801,22072,0,192,192,13874,False,0,False,32319,113,113,11556
Baseline,0.127962,0.127962,22073,0,192,192,13874,False,0,False,32319,113,113,11556
Baseline,0.131199,0.131199,22074,0,192,192,13874,False,0,False,32319,113,113,11556
Baseline,0.134502,0.134502,22075,0,192,192,13874,False,0,False,32319,113,113,11556
Baseline,0.137461,0.137461,22076,0,192,192,13874,False,0,False,32319,113,113,11556
Baseline,0.140619,0.140619,22077,0,192,192,13874,False,0,False,32319,113,113,11556
Baseline,0.143698,0.143698,22078,0,192,192,13874,False,0,False,32319,113,113,11556
Baseline,0.146803,0.146803,22079,0,192,192,13874,False,0,False,32319,113,113,11556
Baseline,0.150374,0.150374,22080,0,192,192,13874,False,0,False,32319,113,113,11556
Baseline,0.153464,0.153464,22081,0,192,192,13874,False,0,False,32319,113,113,11556
Baseline,0.157475,0.157475,22082,0,192,192,13874,False,0,False,41063,113,113,11556
Baseline,0.160920,0.160920,22083,0,192,192,13874,False,0,False,39131,114,114,11558
Baseline,0.164006,0.164006,22084,0,192,192,13874,False,0,False,32319,114,114,11558
Baseline,0.167166,0.167166,22085,0,192,192,13874,False,0,False,32319,114,114,11558
Baseline,0.170103,0.170103,22086,0,192,192,13874,False,0,False,32319,114,114,11558
Baseline,0.173398,0.173398,22087,0,192,192,13874,False,0,False,32319,114,114,11558
Baseline,0.176627,0.176627,22088,0,192,192,13874,False,0,False,32359,114,114,11558
Baseline,0.180195,0.180195,22089,0,192,192,13874,False,0,False,32319,114,114,11558
Baseline,0.183945,0.183945,22090,0,192,192,13874,False,0,False,32319,114,114,11558
Baseline,0.187914,0.187914,22091,0,192,192,13874,False,0,False,32319,114,114,11558
Baseline,0.191768,0.191768,22092,0,192,192,13874,False,0,False,32319,114,114,11558
Baseline,0.195306,0.195306,22093,0,192,192,13874,False,0,False,32319,114,114,11558
Baseline,0.199017,0.199017,22094,0,192,192,13874,False,0,False,32557,114,114,11558
Baseline,0.202180,0.202180,22095,0,192,192,13874,False,0,False,32319,114,114,11558
Baseline,0.205497,0.205497,22096,0,192,192,13874,False,0,False,32319,114,114,11558
Baseline,0.208683,0.208683,22097,0,192,192,13874,False,0,False,32319,114,114,11558
Baseline,0.211495,0.211495,22098,0,192,192,13874,False,0,False,32319,114,114,11558
Baseline,0.214790,0.214790,22099,0,192,192,13874,False,0,False,32371,114,114,11558
Baseline,0.218653,0.218653,22100,0,192,192,13874,False,0,False,32319,114,114,11558
Baseline,0.222489,0.222489,22101,0,192,192,13874,False,0,False,32319,114,114,11558
Baseline,0.226146,0.226146,22102,0,192,192,13874,False,0,False,32319,114,114,11558
Baseline,0.229250,0.229250,22103,0,192,192,13874,False,0,False,32319,114,114,11558
Baseline,0.232587,0.232587,22104,0,192,192,13874,False,0,False,32319,114,114,11558
Baseline,0.235823,0.235823,22105,0,192,192,13874,False,0,False,32319,114,114,11558
