case_index,spell_id,label,expected_accepted,accepted,peak_sprites,end_sprites,end_atoms,end_blocking,initial_update_ms,mean_tick_ms,max_tick_ms
0,Pyromancy_Kindle,"Kindle",True,True,11,0,0,False,0.086300,0.004165,0.043100
1,Pyromancy_EmberVein,"Ember Vein",True,True,30,0,0,False,0.050600,0.002801,0.088500
2,Hydromancy_JetBlast,"Jet Blast",True,True,41,0,0,False,0.043900,0.003463,0.087400
3,Hydromancy_DrenchLob,"Drench Lob",True,True,59,0,0,False,0.037600,0.002812,0.127100
4,Galvanism_Thunderclap,"Thunderclap",True,True,192,0,0,False,0.078500,0.009393,0.418600
5,Cryomancy_GlacialWall,"Glacial Wall",True,True,2,0,0,False,0.026500,0.000743,0.004700
6,Spellcraft_WardGleam,"Ward Gleam",True,True,2,0,0,False,0.042800,0.000811,0.008600
7,Rites_BloodletterLedger,"Rite of the Bloodletter's Ledger · fed marks",True,True,14,0,0,False,0.053400,0.002325,0.025800
8,Corrosion_AcidSpray,"Acid Spray",True,True,11,0,0,False,0.031500,0.001591,0.021700
9,Cryomancy_ChillDraft,"Chill Draft",True,True,18,0,0,False,0.021500,0.001179,0.020100
10,Cryomancy_ColdSnap,"Cold Snap",True,True,74,0,0,False,0.032200,0.002995,0.079900
11,Cryomancy_Frostbind,"Frostbind",True,True,10,0,0,False,0.025200,0.001035,0.016600
12,Cryomancy_Hibernate,"Hibernate",True,True,10,0,0,False,0.028700,0.001017,0.016500
13,Cryomancy_IceLance,"Ice Lance",True,True,11,0,0,False,0.043900,0.001575,0.021700
14,Cryomancy_RimeGrip,"Rime Grip",True,True,10,0,0,False,0.039800,0.001481,0.019400
15,Cryomancy_RimeNova,"Rime Nova",True,True,74,0,0,False,0.072800,0.004926,0.082300
16,Galvanism_ArcBolt,"Arc Bolt",True,True,11,0,0,False,0.049600,0.001571,0.020300
17,Galvanism_BacklashCoil,"Backlash Coil",True,True,25,0,0,False,0.031100,0.001907,0.030800
18,Galvanism_GroundSurge,"Ground Surge",True,True,26,0,0,False,0.046500,0.002444,0.042700
