phase,unity_frame,wall_seconds,unscaled_delta,tick,native_meshes,allocated_views,zone_renderer,input,main_thread,gc_bytes,draw_calls,triangles
0,3111,28.30859783361678,0.00330820587,20,0,384,980000,10875,3277916,29755,227,671223
0,3112,28.32595620861678,0.009590583,20,0,384,6642208,13166,9521875,48365,227,671223
0,3113,28.329650292616783,0.0172840413,20,0,384,3920250,15375,17303500,171850,227,671223
0,3114,28.332980000616786,0.003299667,20,0,384,959208,17708,3280958,29755,228,671227
0,3115,28.336294458616784,0.00353962579,20,0,384,1007625,16542,3483458,29883,228,671227
0,3116,28.339954042616782,0.00365012744,20,0,384,903875,13166,3799708,40261,228,671227
0,3117,28.34375945861678,0.00378549471,20,0,384,904167,11916,3771875,38087,228,671227
0,3118,28.346679167616784,0.00291625573,20,0,384,931250,10834,2925375,29883,228,671227
0,3119,28.349501958616784,0.002716121,20,0,384,902917,17125,2784625,29819,228,671227
0,3120,28.352523083616781,0.00313621038,20,0,384,960375,10583,3003417,29755,228,671227
0,3121,28.355154458616781,0.00268375152,20,0,384,917500,10959,2799291,29883,228,671227
0,3122,28.357733000616783,0.00246708468,20,0,384,893667,9959,2482834,29819,228,671227
0,3123,28.360870167616781,0.003138577,20,0,384,990625,14667,3023458,29755,228,671227
0,3124,28.363654542616786,0.00290054572,20,0,384,964584,10625,2889417,29883,228,671227
0,3125,28.36642029261678,0.0026688776,20,0,384,865584,12083,2787625,29819,228,671227
0,3126,28.369364917616785,0.00287166238,20,0,384,964834,12917,2882125,29755,228,671227
0,3127,28.372129917616782,0.00288604014,20,0,384,918792,10750,2819584,30271,228,671227
0,3128,28.374988667616783,0.00282233558,20,0,384,902875,11583,2791958,29819,229,671229
0,3129,28.377999708616784,0.00303287269,20,0,384,981916,7625,3019667,29755,229,671229
0,3130,28.380681000616782,0.00272929412,20,0,384,937667,12375,2769042,29883,229,671229
0,3131,28.383916458616781,0.00324804429,20,0,384,928542,7084,3129500,29819,229,671229
0,3132,28.386710917616782,0.00277299457,20,0,384,892458,10792,2869209,29755,229,671229
0,3133,28.389436667616785,0.00267599919,20,0,384,912417,11292,2695083,29883,229,671229
0,3134,28.392310917616783,0.00283888169,20,0,384,875125,12167,2709584,29819,229,671229
0,3135,28.395329792616785,0.00302257645,20,0,384,948333,11917,3130208,29755,229,671229
0,3136,28.39841329261678,0.00316929561,20,0,384,968000,12833,3048666,29883,229,671229
0,3137,28.40197358361678,0.00353195868,20,0,384,887958,11375,3500500,29819,229,671229
0,3138,28.404754250616783,0.00268650078,20,0,384,935917,10791,2873750,29755,229,671229
0,3139,28.407826333616782,0.00304583344,20,0,384,1001166,14917,2893166,29883,229,671229
0,3140,28.41132545861678,0.00346445572,20,0,384,973917,19375,3421125,29819,229,671229
0,3141,28.414577708616783,0.0033359977,20,0,384,935541,13083,3277209,29755,229,671229
0,3142,28.417757042616785,0.00321029616,20,0,384,931375,20292,3274000,29883,229,671229
0,3143,28.42067458361678,0.00289512472,20,0,384,906000,19041,2995125,29819,229,671229
0,3144,28.423728833616785,0.00304904347,20,0,384,953166,10875,3011750,29755,229,671229
0,3145,28.427149500616785,0.003419494,20,0,384,987583,9917,3342167,29883,229,671229
0,3146,28.430166292616782,0.00294921338,20,0,384,942875,17417,3046709,29819,229,671229
0,3147,28.433429458616786,0.00310120475,20,1,384,933667,16333,3102083,29755,229,671229
0,3148,28.436984458616784,0.003616291,20,1,384,1126125,15750,3389125,29883,229,671229
0,3149,28.440068833616785,0.00330179278,20,1,384,1046209,22083,3406625,29819,230,671249
0,3150,28.443702583616783,0.003628628,20,5,384,888167,19250,3589958,29755,230,671249
0,3151,28.447496000616781,0.00371804135,20,5,384,948875,11625,3787083,40033,230,671249
0,3152,28.450617417616783,0.002885204,20,5,384,1016375,9750,2986875,29819,234,671287
0,3153,28.45380587561678,0.0034533802,20,7,384,1025542,24292,3379833,29755,234,671287
0,3154,28.457020292616782,0.00325625,20,7,384,972375,11750,3227375,29883,234,671287
0,3155,28.460320917616784,0.00324912136,20,7,384,907292,16542,3231292,29819,236,671359
0,3156,28.463297458616786,0.00294771115,20,7,384,940584,19667,3059292,29755,236,671359
0,3157,28.466163792616783,0.00288266712,20,7,384,1033625,14125,2874417,30011,236,671359
0,3158,28.469411417616783,0.00316233,20,7,384,1024334,15042,3051750,29819,236,671363
0,3159,28.472455167616786,0.003109212,20,7,384,937750,17958,3152959,29755,236,671363
0,3160,28.47584041761678,0.00345729175,20,7,384,996167,11458,3245583,29883,236,671363
0,3161,28.478924250616785,0.00305383373,20,7,384,947167,12292,3231291,29819,236,671363
0,3162,28.48198391761678,0.0030803713,20,7,384,938459,18875,3125833,29755,236,671363
0,3163,28.485249042616786,0.00326571,20,7,384,959583,9917,3190958,29883,236,671363
0,3164,28.488335750616784,0.0030019132,20,7,384,925083,17708,2981042,29819,236,671363
0,3165,28.492395042616785,0.004012167,20,7,384,1024041,9917,4015125,40197,236,671363
0,3166,28.495945125616785,0.003791291,20,7,384,936792,13000,3821625,38599,236,671363
0,3167,28.499192292616783,0.003209042,20,7,384,904083,7917,3252875,38099,237,671365
0,3168,28.502067208616786,0.00281583751,20,7,384,919708,8291,2797542,29755,237,671365
0,3169,28.504806208616785,0.002792751,20,7,384,949500,10542,2798500,29883,237,671365
0,3170,28.50769279261678,0.00281904056,20,7,384,917625,8834,2808166,29819,237,671365
0,3171,28.510870917616785,0.003098122,20,7,384,978125,9417,3089750,29755,237,671365
0,3172,28.513720500616785,0.0030002906,20,7,384,926959,16916,2997958,29883,237,671365
0,3173,28.516485708616784,0.0026829578,20,7,384,920709,12625,2708917,29819,237,671365
0,3174,28.519656833616786,0.00321395975,20,7,384,1028375,9458,3075833,29755,237,671365
0,3175,28.522216292616783,0.00258912984,20,7,384,909500,11875,2775375,29883,237,671365
0,3176,28.525178708616785,0.00289807958,20,8,384,917500,13917,2728250,29819,237,671365
0,3177,28.527987583616785,0.00283841416,20,8,384,918459,17459,3001458,29755,237,671365
0,3178,28.530804167616786,0.002783546,20,8,384,936917,12583,2685333,29883,238,671385
0,3179,28.534043750616782,0.00327821,20,9,384,904625,12708,3120750,29819,238,671385
0,3180,28.537032292616786,0.00294987252,20,9,384,928583,14375,3126458,29755,238,671385
0,3181,28.540417833616786,0.003349582,20,9,384,974125,12333,3232916,29883,239,671405
0,3182,28.54377479261678,0.0033422478,20,10,384,933167,15292,3349625,29871,239,671405
0,3183,28.547190167616783,0.00344345951,20,10,384,975167,18292,3447708,29755,239,671401
0,3184,28.550879042616785,0.00342937931,20,10,384,932375,24959,3298708,29883,240,671421
0,3185,28.554183250616781,0.00358887482,20,11,384,1004667,15875,3666167,29819,240,671421
0,3186,28.557279583616783,0.003069246,20,11,384,914500,19750,3213625,29755,240,671421
0,3187,28.560572750616785,0.00332079083,20,11,384,1004917,11666,3220333,29883,241,671441
0,3188,28.563438125616784,0.00282583619,20,12,384,934792,18708,2965458,29819,241,671441
0,3189,28.566638000616784,0.00303871185,20,12,384,1029084,10916,2904125,29755,241,671441
0,3190,28.570046625616783,0.00355916237,20,12,384,1136667,10959,3475417,29883,242,671461
0,3191,28.573271125616785,0.00327166962,20,12,384,898875,12041,3317166,29819,242,671461
0,3192,28.576957792616781,0.00376008358,20,12,384,909916,18792,3760416,29755,242,671461
0,3193,28.57997516761678,0.00291733281,20,12,384,925875,9792,2932458,29883,242,671461
0,3194,28.583301625616784,0.00329612382,20,12,384,947042,16500,3283000,29819,242,671461
0,3195,28.586489667616782,0.00321937352,20,12,384,960458,20041,3269417,29755,242,671461
0,3196,28.589869625616785,0.00330445729,20,12,384,996375,14292,3146875,29883,242,671461
0,3197,28.593719750616785,0.003980839,20,19,384,974333,12416,4057417,29819,242,671461
0,3198,28.596615500616785,0.00278303563,20,19,384,957500,11625,2890042,29755,242,671461
0,3199,28.599915375616781,0.00329154613,20,19,384,1029000,16750,3119667,29883,249,671503
0,3200,28.603259083616784,0.00338795362,20,19,384,1012583,14583,3462292,29819,249,671503
0,3201,28.606332708616783,0.00309516722,20,19,384,956209,13208,3121250,29755,249,671503
0,3202,28.609869667616785,0.00346008362,20,19,384,975375,10875,3203166,29883,249,671503
0,3203,28.613025500616786,0.00320800021,20,19,384,960209,11625,3406916,30207,249,671503
0,3204,28.616218875616781,0.00307937921,20,23,384,991375,19458,3166084,29883,250,671505
0,3205,28.619575708616786,0.00353712449,20,23,384,1079041,14167,3410542,29883,250,671509
0,3206,28.62258500061678,0.002936834,20,23,384,920667,16250,2991250,29819,254,671589
0,3207,28.62608208361678,0.00345166516,20,23,384,1014709,14500,3301000,29755,254,671589
0,3208,28.629555667616785,0.003454209,20,23,384,998417,21500,3559708,29883,254,671589
0,3209,28.632877750616785,0.0033861252,20,23,384,953417,11583,3436667,29819,254,671589
0,3210,28.636074500616786,0.0032698696,20,23,384,1007583,17209,3221375,29947,254,671589
0,3211,28.63904312561678,0.0029710033,20,23,384,940334,10458,2966458,29883,254,671589
0,3212,28.643977250616786,0.00497033028,20,23,384,951625,12958,4875041,40261,254,671589
0,3213,28.648105542616783,0.00415233849,20,23,384,930250,11833,3718583,38227,253,671587
0,3214,28.651531333616781,0.00333770551,20,23,384,896833,9292,3593083,38043,253,671587
0,3215,28.654292000616785,0.00279392,20,23,384,914500,11083,3169792,29819,253,671587
0,3216,28.657051542616784,0.00281862239,20,23,384,952625,14292,2814208,29947,253,671587
0,3217,28.660282042616785,0.0031906676,20,23,384,924917,7625,3039083,29883,253,671587
0,3218,28.662978958616783,0.00271057966,20,23,384,907542,15083,2850500,29819,253,671587
0,3219,28.666112292616781,0.002944749,20,23,384,937792,10958,2896375,29755,252,671585
0,3220,28.669413167616781,0.00342712575,20,23,384,1036917,14458,3321750,30075,252,671585
0,3221,28.672265417616785,0.002801963,20,23,384,873542,10708,2956375,29819,252,671585
0,3222,28.675312875616783,0.00301945861,20,23,384,1025542,11958,2915667,29755,252,671585
0,3223,28.678304833616785,0.003131916,20,23,384,998167,19375,3147125,29883,252,671585
0,3224,28.681260667616783,0.00281875,20,23,384,904708,13083,2851167,30011,252,671585
0,3225,28.684720958616786,0.00344854034,20,23,384,1051125,12125,3290208,29755,252,671585
0,3226,28.687905583616782,0.00323466561,20,23,384,995041,18833,3335417,29883,252,671585
0,3227,28.691293333616784,0.003265129,20,23,384,960959,20375,3269125,29819,252,671585
0,3228,28.694565958616785,0.003378954,20,23,384,1013208,16084,3331375,29947,252,671585
0,3229,28.698029708616779,0.00341083482,20,23,384,1006333,12292,3249084,29883,252,671581
0,3230,28.702066417616784,0.00423045643,20,23,384,1030667,13834,4392042,29819,252,671581
0,3231,28.704992250616783,0.00277495757,20,23,384,924250,10292,2891167,29947,252,671581
0,3232,28.708367917616783,0.00331641873,20,23,384,1027416,14583,3095166,29883,252,671581
0,3233,28.711758333616785,0.00342495739,20,23,384,980750,21167,3487917,29819,252,671581
0,3234,28.714878292616781,0.00312808249,20,23,384,929625,18833,3199084,29755,252,671581
0,3235,28.718683625616784,0.00392554561,20,23,384,1043334,14417,3849791,30075,252,671581
0,3236,28.72190904261678,0.00305487518,20,23,384,964625,10166,3130916,29819,252,671581
0,3237,28.725254292616782,0.00326137338,20,23,384,1065250,15833,3214917,29755,252,671581
0,3238,28.728788667616783,0.00352125149,20,23,384,1106041,15667,3463208,30075,252,671581
0,3239,28.731937583616784,0.003399249,20,23,384,953458,13042,3426917,30207,252,671581
0,3240,28.735179958616783,0.00321212434,20,23,384,935750,17542,3196458,29755,253,671583
0,3241,28.738357458616782,0.00314508216,20,23,384,954875,15250,3100792,29883,253,671583
0,3242,28.741777125616785,0.0032389597,20,23,384,996291,11584,3315250,30011,253,671583
0,3243,28.745314542616782,0.00367458188,20,23,384,1126834,16459,3607958,29807,253,671583
0,3244,28.748778875616786,0.00346699962,20,23,384,1018458,19042,3453291,29883,253,671583
0,3245,28.752250917616784,0.003475588,20,23,384,926584,13042,3485750,30011,253,671583
0,3246,28.755626417616782,0.00327216554,20,23,384,984500,15000,3306959,29755,253,671583
0,3247,28.759058417616785,0.003500829,20,23,384,1121333,12625,3302750,29883,253,671583
0,3248,28.762380542616782,0.0033862954,20,23,384,998459,23125,3579834,30011,253,671583
0,3249,28.765869167616785,0.0034275793,20,23,384,991500,17541,3389125,29819,253,671583
0,3250,28.769469542616783,0.00358783314,20,23,384,1032166,12292,3497500,29883,253,671585
0,3251,28.772972375616781,0.00348195853,20,23,384,983041,12792,3511667,30011,253,671585
0,3252,28.777192500616785,0.00436041644,20,23,384,1062334,13541,4372709,29755,253,671585
0,3253,28.780413667616784,0.00321854441,20,23,384,1005917,10666,3210750,29923,253,671585
0,3254,28.783792167616781,0.00337345526,20,23,384,955667,18708,3326416,30011,253,671585
0,3255,28.786915417616783,0.003078628,20,23,384,949166,11500,3122042,29755,253,671585
0,3256,28.790312708616781,0.00347757945,20,23,384,1006875,14542,3334250,29883,253,671585
0,3257,28.79425604261678,0.00397158461,20,23,384,902750,10458,4142666,41714,253,671585
0,3258,28.797663333616782,0.0033738378,20,23,384,944542,10833,3447500,38035,253,671585
0,3259,28.800729208616787,0.00299107842,20,23,384,969917,7542,2694166,29883,253,671585
0,3260,28.803859833616784,0.00323441741,20,23,384,991625,15542,3470833,29819,253,671585
0,3261,28.806850667616786,0.00296212453,20,23,384,938875,10209,2987917,29947,253,671585
0,3262,28.810272708616786,0.003415129,20,21,384,974584,10958,3306250,29883,253,671585
0,3263,28.81317812561678,0.00287120882,20,16,384,914000,10000,2897584,29819,253,671585
0,3264,28.816488708616781,0.00317345513,20,16,384,984917,9291,3198500,29755,251,671545
0,3265,28.819480917616779,0.00322074839,20,16,384,1083958,18666,3210958,30075,246,671455
0,3266,28.822478292616786,0.002855754,20,16,384,872125,15666,2883792,29819,246,671455
0,3267,28.825810542616786,0.00341591542,20,16,384,1032542,10750,3283041,29755,246,671455
0,3268,28.829165875616781,0.00318245473,20,16,384,921292,16958,3195541,30075,246,671455
0,3269,28.832269625616782,0.00323596224,20,16,384,994125,13250,3294417,29819,246,671455
0,3270,28.835658667616784,0.003356498,20,16,384,996375,10125,3330834,29755,246,671455
0,3271,28.83892612561678,0.0032707057,20,16,384,975042,19250,3256833,29883,246,671455
0,3272,28.84207116761678,0.00300975051,20,16,384,994250,19459,3078125,30011,246,671455
0,3273,28.845155625616783,0.00329525233,20,11,384,1062375,23959,3273959,29755,246,671455
0,3274,28.848246667616785,0.003105251,20,11,384,959042,9208,3044667,29883,246,671453
0,3275,28.852145125616786,0.00377349765,20,11,384,910125,11667,3751209,29819,241,671353
0,3276,28.855155125616783,0.00312446151,20,11,384,961542,11833,3225917,30335,241,671353
0,3277,28.858632167616783,0.003397874,20,11,384,1008000,7917,3207375,29883,242,671355
0,3278,28.86179383361678,0.0031985403,20,11,384,976208,14958,3320292,29819,242,671355
0,3279,28.865135000616782,0.003337167,20,11,384,976458,10333,3271708,29755,242,671355
0,3280,28.868918750616785,0.00370554137,20,11,384,942000,17750,3603542,29883,242,671355
0,3281,28.872342292616786,0.003439874,20,11,384,993750,12500,3586459,29819,242,671355
0,3282,28.875781250616782,0.00339808664,20,11,384,1033708,15833,3235083,29947,241,671353
