phase,unity_frame,wall_seconds,unscaled_delta,tick,native_meshes,allocated_views,zone_renderer,input,main_thread,gc_bytes,draw_calls,triangles
0,2986,28.0148770430839,0.00323429,20,0,384,906250,12708,3066709,29883,227,671223
0,2987,28.0309918770839,0.00678154035,20,0,384,4342042,10000,6819416,48309,227,671223
0,2988,28.034525168083903,0.0163129177,20,0,384,3770416,15833,16354708,174742,227,671223
0,2989,28.0377422930839,0.00326325116,20,0,384,899042,11208,3290250,29883,229,671229
0,2990,28.0411922100839,0.00351682957,20,0,384,976791,15000,3472375,29819,229,671229
0,2991,28.0440495020839,0.00288224919,20,0,384,898167,17333,3018209,29755,229,671229
0,2992,28.0470927520839,0.00293538114,20,0,384,948292,14292,2795250,29883,229,671229
0,2993,28.0505680020839,0.00351712015,20,0,384,1003042,17208,3438833,29819,229,671229
0,2994,28.0538593350839,0.00320241647,20,0,384,930834,19291,3270000,29755,229,671229
0,2995,28.0571795850839,0.00353158312,20,0,384,920584,22833,3290958,29883,229,671229
0,2996,28.0607424600839,0.00353233423,20,0,384,885708,10167,3780000,40021,229,671229
0,2997,28.063816252083896,0.002933461,20,0,384,929625,9667,2911292,29755,229,671229
0,2998,28.067103293083896,0.00337925181,20,0,384,995000,14500,3305458,29883,229,671229
0,2999,28.0705255850839,0.003452374,20,0,384,895583,16458,3393000,29819,229,671229
0,3000,28.0744740850839,0.00395645527,20,0,384,917250,12958,4101125,29755,229,671229
0,3001,28.077451877083902,0.002956335,20,0,384,857208,10542,2972834,29883,229,671229
0,3002,28.0806335430839,0.003028373,20,0,384,953542,10292,2920209,29819,229,671229
0,3003,28.0839954180839,0.00349321146,20,0,384,997792,23625,3513333,29755,229,671229
0,3004,28.0871254180839,0.00313716684,20,0,384,925583,14500,3144625,29883,229,671229
0,3005,28.0903859600839,0.0032417092,20,0,384,897792,18292,3221333,29819,229,671229
0,3006,28.0934679600839,0.003062245,20,0,384,929708,18292,3106667,29755,229,671229
0,3007,28.096657210083897,0.00325466972,20,0,384,882458,16167,3278208,29883,229,671229
0,3008,28.0998359600839,0.003159956,20,0,384,903083,13500,3092833,29819,229,671229
0,3009,28.1029482520839,0.00302850059,20,0,384,939833,13750,3078416,29755,229,671229
0,3010,28.1063281270839,0.00341371167,20,0,384,1003500,12125,3208291,29883,229,671229
0,3011,28.109455043083898,0.00314466422,20,0,384,945583,15458,3333542,29819,229,671229
0,3012,28.112525418083898,0.003036253,20,0,384,946833,10833,3061292,29755,229,671229
0,3013,28.116043877083897,0.0036876204,20,0,384,891625,16542,3576250,29883,229,671229
0,3014,28.119208960083903,0.00299137621,20,0,384,871625,10375,3015709,29819,228,671227
0,3015,28.122398377083897,0.00318771251,20,0,384,997333,17083,3200042,29755,228,671227
0,3016,28.1256358770839,0.00332412124,20,0,384,972292,12750,3278667,29883,228,671227
0,3017,28.1287411270839,0.00307208044,20,0,384,890083,18667,3098667,29819,228,671227
0,3018,28.131908043083897,0.00307842251,20,0,384,907333,18833,3087167,29755,228,671227
0,3019,28.1350133770839,0.003228791,20,0,384,939292,17875,3146625,29883,228,671227
0,3020,28.138857002083903,0.003722704,20,1,384,879333,10125,3848750,40649,228,671227
0,3021,28.1430450430839,0.004321627,20,1,384,1034000,12958,4239209,38035,229,671229
0,3022,28.1464197930839,0.0032856646,20,1,384,914750,10958,3260291,29883,230,671249
0,3023,28.149695835083897,0.0032955003,20,12,384,915459,18917,3316625,29819,230,671249
0,3024,28.1528097100839,0.00293812365,20,12,384,955291,18458,3068917,29755,230,671249
0,3025,28.1563431680839,0.00375112682,20,12,384,1043666,10500,3403833,29883,241,672575
0,3026,28.159531460083898,0.0031545423,20,14,384,942500,12791,3379041,29819,241,672575
0,3027,28.162527168083898,0.003030499,20,14,384,968250,12125,3102375,29755,241,672575
0,3028,28.1661274600839,0.00363679137,20,14,384,954916,12292,3464250,29883,243,672647
0,3029,28.1693360850839,0.003075666,20,14,384,927709,12167,3132834,29819,243,672647
0,3030,28.1727390020839,0.00335108419,20,14,384,1018500,17750,3283500,29883,243,672647
0,3031,28.1760075020839,0.00345616485,20,14,384,933500,19959,3448042,29883,243,672651
0,3032,28.179294085083896,0.00315883639,20,14,384,890292,12875,3160209,29819,243,672651
0,3033,28.182800960083902,0.00367566617,20,14,384,981875,15625,3643125,29755,243,672651
0,3034,28.1859611680839,0.00300183543,20,14,384,882541,11458,3132208,29883,243,672651
0,3035,28.1891799180839,0.003125496,20,14,384,979875,18708,3100292,29819,243,672651
0,3036,28.192454627083897,0.00331533444,20,14,384,1014667,17833,3331916,29755,243,672651
0,3037,28.1955923350839,0.003233709,20,14,384,950167,18833,3151291,29883,243,672651
0,3038,28.199483002083902,0.0039802934,20,14,384,940708,15834,4001542,29819,243,672651
0,3039,28.2023855020839,0.002763251,20,14,384,915583,11334,2886417,29755,243,672651
0,3040,28.2055736680839,0.00310166529,20,14,384,1019708,12834,2993542,29883,243,672651
0,3041,28.208816335083903,0.00339108566,20,14,384,1037791,15167,3324250,29819,243,672651
0,3042,28.2121179600839,0.00307766441,20,14,384,929041,17833,3176708,29755,243,672651
0,3043,28.2161905850839,0.0043934593,20,14,384,1015000,17959,4324000,29883,243,672651
0,3044,28.2192702100839,0.002894331,20,14,384,873708,9167,2938417,29819,243,672651
0,3045,28.222219002083897,0.002931335,20,14,384,1052625,13625,3006333,29755,243,672651
0,3046,28.225317293083897,0.00327025237,20,14,384,1026000,14000,3108583,29883,242,672649
0,3047,28.2285990850839,0.00328475051,20,15,384,884500,18583,3298584,29819,242,672649
0,3048,28.231814585083896,0.00312153483,20,15,384,888333,14917,3091500,29755,242,672649
0,3049,28.2347411680839,0.003027459,20,15,384,886417,18625,3128250,29883,243,672669
0,3050,28.2374931680839,0.00266245753,20,15,384,889500,11667,2739500,29819,243,672669
0,3051,28.2409230850839,0.003588003,20,16,384,996958,10333,3476292,29755,243,672669
0,3052,28.2436529600839,0.0026381237,20,16,384,851167,8916,2637584,29883,243,672669
0,3053,28.2465499180839,0.002877544,20,16,384,925625,13542,2903916,29819,244,672689
0,3054,28.249704335083898,0.00316658174,20,17,384,969667,8417,3084750,29755,244,672689
0,3055,28.2525342100839,0.00281170639,20,17,384,919333,12541,2901208,29883,244,672685
0,3056,28.255539668083898,0.002818339,20,17,384,870833,13875,2791041,29819,245,672705
0,3057,28.2586533350839,0.00322053581,20,18,384,1066917,10833,3182292,30143,245,672705
0,3058,28.2618903770839,0.0033122946,20,18,384,987709,13584,3305458,29935,246,672707
0,3059,28.264963252083902,0.00305445725,20,18,384,907792,13416,3102833,29819,247,672727
0,3060,28.268040335083903,0.003006087,20,18,384,952084,12917,3014375,29755,247,672727
0,3061,28.2711995850839,0.00325287,20,19,384,1040542,13083,3182375,29883,247,672727
0,3062,28.2750462100839,0.00354066747,20,19,384,903167,16792,3405125,29819,247,672727
0,3063,28.278487543083898,0.003780166,20,19,384,981833,21583,3682125,29755,248,672747
0,3064,28.281945210083897,0.00327633927,20,19,384,883167,14167,3387625,29883,248,672747
0,3065,28.2855452520839,0.003734042,20,19,384,1007666,13750,3676333,29819,248,672747
0,3066,28.2898018350839,0.00411395263,20,19,384,943584,10875,4145833,40197,248,672747
0,3067,28.2937631270839,0.00406958628,20,19,384,1048917,14958,4191500,38163,248,672747
0,3068,28.296983793083896,0.003140788,20,19,384,937333,10209,3156375,29819,248,672747
0,3069,28.3004667930839,0.003533461,20,19,384,1072042,8833,3407000,29755,248,672747
0,3070,28.3037768350839,0.00339920633,20,19,384,948917,16042,3392584,29883,248,672747
0,3071,28.307833418083902,0.00405571144,20,19,384,915208,13792,4151708,29819,248,672747
0,3072,28.311055002083897,0.00306112529,20,19,384,947000,11875,3036917,29755,248,672747
0,3073,28.3147146680839,0.00350966561,20,57,384,1054500,10833,3312125,29883,248,672747
0,3074,28.318119960083898,0.00363087445,20,57,384,1050042,16166,3807292,29819,248,672747
0,3075,28.321603877083902,0.003429209,20,61,384,982125,20875,3460916,29755,286,679841
0,3076,28.325177002083898,0.00356371165,20,61,384,1078791,13291,3452333,29947,286,679841
0,3077,28.3285566270839,0.00345654064,20,61,384,1025959,17792,3538875,29819,290,679923
0,3078,28.332051585083903,0.00338595523,20,61,384,986375,13125,3290375,29755,290,679923
0,3079,28.3354835850839,0.00344820716,20,61,384,986125,19291,3535500,29883,290,679923
0,3080,28.338905627083896,0.0033747945,20,61,384,1068084,17208,3369542,29819,290,679923
0,3081,28.342341418083898,0.00356483134,20,61,384,1072666,18167,3501541,29755,290,679923
0,3082,28.3457955850839,0.00349483429,20,61,384,998542,14750,3486375,29883,290,679923
0,3083,28.349525335083896,0.003742999,20,61,384,948917,13417,3729958,29819,289,679921
0,3084,28.352950335083897,0.00322100334,20,61,384,977833,11708,3258625,29755,289,679921
0,3085,28.3566849180839,0.00383762037,20,61,384,1041375,28291,3606458,29883,289,679921
0,3086,28.3599765850839,0.00338654337,20,61,384,1033333,13917,3630917,29819,289,679921
0,3087,28.363240168083898,0.00315595954,20,61,384,949167,17875,3230625,29755,289,679921
0,3088,28.366999710083903,0.003854124,20,61,384,1082959,10416,3605166,29883,289,679921
0,3089,28.3703151270839,0.00333933532,20,61,384,969333,11750,3271834,29819,289,679921
0,3090,28.3741544600839,0.003708206,20,61,384,953250,11042,3504166,29755,289,679921
0,3091,28.377686793083896,0.00353304273,20,61,384,994500,10750,3904500,38431,289,679921
0,3092,28.3813880850839,0.00359666953,20,61,384,1052708,18084,3390000,29819,290,679923
0,3093,28.384972502083897,0.00374608138,20,61,384,1153166,13375,3914709,29755,290,679923
0,3094,28.3882867520839,0.00329499715,20,61,384,974958,18875,3357250,29883,290,679923
0,3095,28.3916745430839,0.00339716556,20,61,384,994583,16208,3368666,29819,290,679923
0,3096,28.395154627083897,0.00331775076,20,61,384,930542,16542,3235583,29755,290,679923
0,3097,28.3998726270839,0.00485458458,20,61,384,1099291,20583,4851416,29883,290,679923
0,3098,28.4033803770839,0.003401084,20,61,384,1060041,14708,3517875,29819,290,679923
0,3099,28.4081365430839,0.00486045936,20,61,384,1191917,9750,4795541,29755,290,679921
0,3100,28.411974085083898,0.00363891735,20,61,384,1046792,13792,3607709,29883,289,679919
0,3101,28.416482377083902,0.004693665,20,61,384,1072542,18083,4699583,29819,289,679919
0,3102,28.4202293770839,0.00361154345,20,61,384,1056375,13834,3695875,29755,289,679919
0,3103,28.425026835083898,0.00485004252,20,61,384,1211375,9500,4631000,29883,289,679919
0,3104,28.428749918083902,0.00366782886,20,61,384,1119917,14250,3849208,29819,289,679919
0,3105,28.433071752083897,0.004475751,20,61,384,1155292,13625,4413292,29755,289,679919
0,3106,28.4364449180839,0.00333029334,20,61,384,1005333,13167,3362208,29883,289,679919
0,3107,28.441347835083903,0.005094664,20,61,384,1080333,15917,5077583,40261,289,679919
0,3108,28.445291252083898,0.00380083616,20,61,384,935708,11209,3829042,38035,289,679919
0,3109,28.448750627083896,0.00348324841,20,61,384,1089167,10125,3369875,29883,289,679919
0,3110,28.452270627083898,0.00332641718,20,61,384,980000,19959,3424958,29819,289,679919
0,3111,28.455732918083896,0.003519416,20,61,384,1056500,19083,3583375,29755,289,679919
0,3112,28.459059752083903,0.00350908446,20,61,384,1107875,15250,3379959,29883,289,679919
0,3113,28.4623212100839,0.003208461,20,61,384,964500,16417,3222125,29871,289,679919
0,3114,28.4663165020839,0.004014704,20,61,384,1008292,17542,3936625,29755,289,679919
0,3115,28.469810418083902,0.00339308381,20,61,384,1021750,12208,3441083,29883,289,679919
0,3116,28.4735848770839,0.003776793,20,61,384,1072291,17333,3695375,29883,289,679919
0,3117,28.476846043083903,0.00331066479,20,61,384,1003375,12458,3457375,29755,289,679921
0,3118,28.4804878350839,0.00353846373,20,61,384,1038250,14917,3433167,29883,289,679921
0,3119,28.4841059180839,0.00375241647,20,61,384,1107083,21041,3755542,29819,289,679921
0,3120,28.487435293083898,0.00335603743,20,61,384,995250,18584,3431708,29755,289,679921
0,3121,28.491248752083898,0.003852211,20,61,384,1012000,11833,3701333,29883,289,679921
0,3122,28.4947397100839,0.00328945578,20,61,384,1000292,10791,3398958,29819,289,679921
0,3123,28.4981962930839,0.00356550445,20,61,384,1026375,16458,3485834,30143,289,679921
0,3124,28.5015407100839,0.00344337453,20,61,384,992334,22500,3435792,29883,290,679923
0,3125,28.5046635020839,0.003062833,20,61,384,961375,12958,3252500,29819,290,679923
