phase,unity_frame,wall_seconds,unscaled_delta,tick,native_meshes,allocated_views,zone_renderer,input,main_thread,gc_bytes,draw_calls,triangles
0,3068,28.694170043467125,0.002685537,20,0,384,891500,10000,2707083,29819,230,671229
0,3069,28.710565751467122,0.0071002976,20,0,384,4869708,8166,7128000,48237,230,671229
0,3070,28.714152084467123,0.0168828722,20,0,384,3787541,8709,16691250,172302,230,671229
0,3071,28.71742800146712,0.00326366932,20,0,384,921625,23666,3268208,29859,232,671235
0,3072,28.720777459467122,0.00347691332,20,0,384,985625,17916,3537750,29755,232,671235
0,3073,28.723931793467123,0.0030964145,20,0,384,935958,13334,3138250,29883,232,671235
0,3074,28.727467293467122,0.00353204366,20,0,384,981291,16333,3405208,29819,232,671235
0,3075,28.730540334467122,0.00309254532,20,0,384,969291,18708,3198541,29755,232,671235
0,3076,28.733771334467122,0.00320487539,20,0,384,1013959,10125,3084292,29883,232,671235
0,3077,28.737683543467121,0.00404445175,20,0,384,912250,11667,4136792,40261,232,671235
0,3078,28.74131012646712,0.00357429846,20,0,384,939875,11334,3547166,38035,232,671235
0,3079,28.744360209467125,0.0030812074,20,0,384,961500,10333,3090667,29883,232,671235
0,3080,28.747164209467122,0.002773455,20,0,384,899791,17750,2893625,29819,231,671233
0,3081,28.75042154346712,0.00308183115,20,0,384,963416,16083,2916416,29755,231,671233
0,3082,28.75361137646712,0.00326417224,20,0,384,1067667,11958,3288458,29883,231,671233
0,3083,28.756684584467123,0.003208787,20,0,384,948125,15208,3202042,29819,231,671233
0,3084,28.759869334467119,0.00314779626,20,0,384,906959,16833,3106042,29755,231,671233
0,3085,28.762784084467121,0.00294199982,20,0,384,917792,17458,2975375,29883,231,671233
0,3086,28.765889251467122,0.00307716848,20,0,384,936916,15125,3123250,29819,231,671233
0,3087,28.769170376467123,0.00325608,20,0,384,969584,11375,3184583,29755,231,671233
0,3088,28.772148168467119,0.00290279184,20,0,384,954875,17792,2976708,29883,231,671233
0,3089,28.775252584467125,0.003074667,20,0,384,959291,15042,3004250,29819,231,671233
0,3090,28.778600501467125,0.00347062084,20,0,384,1042209,14875,3434375,29755,231,671233
0,3091,28.781763376467126,0.00315562636,20,0,384,959625,11917,3156958,29883,231,671233
0,3092,28.785249001467122,0.00358783314,20,0,384,943958,16959,3453083,29819,231,671233
0,3093,28.788078168467123,0.00277079083,20,0,384,903833,11042,3035667,29755,231,671233
0,3094,28.791209126467123,0.0029324193,20,0,384,952166,11542,2798166,29883,231,671233
0,3095,28.794456626467124,0.00339833484,20,0,384,954958,24750,3418625,29819,231,671233
0,3096,28.797602334467122,0.00310608,20,0,384,967500,14875,3154583,29755,231,671233
0,3097,28.800763501467124,0.00322891865,20,0,384,1001041,16291,3019291,29883,231,671233
0,3098,28.803794918467119,0.00305358553,20,0,384,920042,14084,3204458,29819,231,671233
0,3099,28.806479001467125,0.00274732849,20,0,384,931958,15417,2787875,29755,231,671233
0,3100,28.80934991846712,0.00291045918,20,0,384,911792,8792,2789583,29883,231,671233
0,3101,28.812142001467123,0.00265099923,20,0,384,849625,9958,2819250,29819,231,671233
0,3102,28.814887668467122,0.002883128,20,0,384,902834,9042,2861292,29755,231,671233
0,3103,28.81792529346712,0.00300875143,20,1,384,883916,11125,2725208,29883,231,671233
0,3104,28.820487376467121,0.002547456,20,1,384,848375,10250,2841667,30207,231,671233
0,3105,28.823338459467124,0.00260062353,20,1,384,894875,11250,2520125,29755,233,671255
0,3106,28.826815959467119,0.003765377,20,1,384,1032542,15208,3650666,29883,233,671255
0,3107,28.829572334467123,0.0027128756,20,5,384,876166,11000,2844875,29819,233,671255
0,3108,28.832466126467125,0.002799752,20,5,384,891959,7792,2794500,29755,233,671255
0,3109,28.835479209467124,0.003092914,20,5,384,910458,10708,3017625,29883,237,671293
0,3110,28.838637168467123,0.00320591684,20,7,384,889875,13791,3250625,40021,237,671293
0,3111,28.841238084467122,0.00254658447,20,7,384,892417,8209,2606375,29755,237,671293
0,3112,28.844285626467119,0.00306070712,20,7,384,984084,7167,2876750,29883,239,671365
0,3113,28.847310584467124,0.00283666374,20,7,384,869875,12250,2922500,29819,239,671365
0,3114,28.850277251467119,0.00300408877,20,7,384,1055583,13916,3093833,29883,238,671363
0,3115,28.853669084467121,0.00341799879,20,7,384,1034333,13750,3196792,29883,238,671367
0,3116,28.856873209467125,0.00324016437,20,7,384,902209,12417,3201541,29819,238,671367
0,3117,28.860195126467126,0.00333466544,20,7,384,952625,15916,3433292,29755,238,671367
0,3118,28.863023251467119,0.00286592264,20,7,384,933500,17584,2944584,29883,238,671367
0,3119,28.866203043467124,0.00304612378,20,7,384,931167,10666,3004041,29819,238,671367
0,3120,28.869295793467124,0.00321425032,20,7,384,1008334,13541,3167000,29755,238,671367
0,3121,28.872187251467125,0.00276170624,20,7,384,948209,11625,2901416,29883,238,671367
0,3122,28.875139751467124,0.002969664,20,7,384,981417,9417,2915667,29819,238,671367
0,3123,28.878292501467122,0.003167999,20,7,384,1028917,15334,3163666,29755,238,671367
0,3124,28.881482501467126,0.00321012619,20,7,384,1030666,13792,3011042,29883,238,671367
0,3125,28.885227584467124,0.003866546,20,7,384,961750,20834,3938458,29819,238,671367
0,3126,28.889164084467126,0.00381232984,20,7,384,922167,11875,3867708,40197,238,671367
0,3127,28.893864209467125,0.004725248,20,7,384,1031500,11708,4622000,38355,238,671367
0,3128,28.896803418467123,0.00298591983,20,7,384,951542,10125,3153042,29819,238,671367
0,3129,28.90043912646712,0.0035650013,20,7,384,1027000,7250,3409334,29755,237,671365
0,3130,28.90359387646712,0.003200666,20,7,384,970041,18917,3257000,29883,236,671363
0,3131,28.906682126467125,0.003025666,20,7,384,943833,17709,3012625,29819,236,671363
0,3132,28.910172001467124,0.00365687348,20,8,384,1021459,12250,3591625,29755,236,671363
0,3133,28.913150751467121,0.00281420769,20,8,384,912417,10125,2911083,29883,236,671363
0,3134,28.91620604346712,0.00298045645,20,8,384,923125,18500,2978709,29819,237,671383
0,3135,28.919654126467123,0.00356858713,20,9,384,1087416,15917,3424666,29755,237,671383
0,3136,28.922808043467121,0.003087585,20,9,384,942083,17167,3188875,29883,237,671383
0,3137,28.926148168467122,0.00338212168,20,9,384,987000,21333,3291000,29819,238,671403
0,3138,28.929309751467123,0.003187252,20,10,384,952292,19250,3328292,29755,238,671403
0,3139,28.93262470946712,0.00324149663,20,10,384,990958,13083,3071333,29883,238,671399
0,3140,28.93585425146712,0.00328279473,20,10,384,955708,10833,3363416,29819,239,671419
0,3141,28.93868979346712,0.002869416,20,11,384,936084,17917,2993084,30143,239,671419
0,3142,28.941619793467119,0.002885126,20,11,384,989958,14125,2788792,29883,240,671421
0,3143,28.944845168467126,0.00331158587,20,11,384,1026875,11583,3221625,29819,241,671441
0,3144,28.948184793467121,0.00327487243,20,12,384,902167,16542,3301167,29755,241,671441
0,3145,28.951999251467122,0.00378754246,20,12,384,953084,19792,3769666,29883,241,671441
0,3146,28.955080459467119,0.00309328944,20,12,384,969458,11000,3090625,29819,242,671461
0,3147,28.957972751467125,0.00286966423,20,12,384,1002625,10291,3000541,29755,242,671461
0,3148,28.961217209467122,0.00329375,20,12,384,1027333,11958,3154208,29883,242,671461
0,3149,28.964465543467121,0.003203125,20,12,384,953500,16334,3198167,29819,242,671461
0,3150,28.96785154346712,0.00342191756,20,12,384,996334,10584,3353834,29755,242,671461
0,3151,28.971105376467122,0.00314162415,20,12,384,939666,19958,3240292,29883,242,671461
0,3152,28.974753168467124,0.003678465,20,12,384,972625,11250,3540041,29819,242,671461
0,3153,28.977869084467123,0.00321724778,20,19,384,983416,16750,3307500,29755,242,671461
0,3154,28.981147584467124,0.00325091416,20,19,384,967208,15584,3189375,29883,242,671461
0,3155,28.985465668467121,0.00438767,20,19,384,953583,20542,4465209,29819,249,671503
0,3156,28.98854483446712,0.00304983,20,19,384,961458,10416,3115459,29755,249,671503
0,3157,28.992006168467121,0.00318187359,20,19,384,1023542,8834,3090833,29883,249,671503
0,3158,28.995073251467126,0.00339404773,20,19,384,1003834,16375,3377417,29819,249,671503
0,3159,28.997959876467121,0.00287337019,20,19,384,916042,13042,2915833,29755,248,671501
0,3160,29.001056293467123,0.003075248,20,23,384,936917,11375,2900708,29947,248,671501
0,3161,29.00397033446712,0.00288129249,20,23,384,972291,10709,3118292,29819,248,671503
0,3162,29.006603209467123,0.00270979316,20,23,384,1011209,10917,2748209,29755,252,671583
0,3163,29.010086751467121,0.0035125,20,23,384,969209,9292,3356459,29883,252,671583
0,3164,29.013124126467119,0.00293962588,20,23,384,919167,9000,2962333,29819,252,671583
0,3165,29.015831959467121,0.002781498,20,23,384,885917,15459,2886708,29755,252,671583
0,3166,29.018908376467124,0.00307329232,20,23,384,931583,11000,2940417,29883,252,671583
0,3167,29.021726126467122,0.00281921052,20,23,384,889792,14000,2864625,29819,252,671583
0,3168,29.024635334467121,0.00286191888,20,23,384,930792,10334,2882500,29755,252,671583
0,3169,29.027689834467125,0.00308995182,20,23,384,987834,12125,2998625,29883,252,671583
0,3170,29.03044141846712,0.002731668,20,23,384,903083,15292,2891541,29819,252,671583
0,3171,29.033396043467121,0.00273087434,20,23,384,960333,10250,2701583,29755,252,671583
0,3172,29.036603459467123,0.00346383918,20,23,384,1004250,13292,3204916,29883,252,671583
0,3173,29.040144834467121,0.00357991061,20,23,384,925917,11083,3785875,40313,252,671583
0,3174,29.044741709467125,0.00446054433,20,23,384,897875,9125,3843417,38035,252,671583
0,3175,29.048229543467123,0.00340883643,20,23,384,976750,10250,3853083,38043,252,671583
0,3176,29.051934918467126,0.003684623,20,23,384,1028792,12125,3676917,29819,252,671583
0,3177,29.055372751467125,0.00346571,20,23,384,1004458,12084,3520375,29755,252,671583
0,3178,29.05893070946712,0.00351778627,20,23,384,1031959,15667,3391667,29883,252,671583
0,3179,29.062098334467123,0.003296712,20,23,384,968167,14584,3449917,30207,252,671583
0,3180,29.065382251467121,0.00325162266,20,23,384,967416,16959,3242250,29755,253,671585
