phase,unity_frame,wall_seconds,unscaled_delta,tick,native_meshes,allocated_views,zone_renderer,input,main_thread,gc_bytes,draw_calls,triangles
0,3066,30.033300167233563,0.00292387325,20,0,384,967584,9416,2881000,29755,229,671227
0,3067,30.050244584233567,0.00771137327,20,0,384,4780458,13541,7569917,48373,229,671227
0,3068,30.054044584233566,0.0170880817,20,0,384,3738542,10625,17030959,174418,229,671227
0,3069,30.057398501233564,0.003306087,20,0,384,1001875,15333,3471375,29755,230,671231
0,3070,30.060563251233567,0.003203125,20,0,384,937250,16833,3191959,29883,230,671231
0,3071,30.064113751233563,0.00368908024,20,0,384,984667,17500,3511334,29819,230,671231
0,3072,30.066949667233565,0.0028375,20,0,384,909542,12083,3081333,29755,230,671231
0,3073,30.069817751233565,0.0028953373,20,0,384,920250,12125,2874333,29935,230,671231
0,3074,30.072871834233567,0.00298229163,20,0,384,868458,11583,2928792,29819,230,671231
0,3075,30.076110709233568,0.00336049451,20,0,384,940542,16167,3292041,29755,230,671231
0,3076,30.079707417233564,0.00339542236,20,0,384,866375,8083,3384208,40033,230,671231
0,3077,30.082598626233562,0.002999164,20,0,384,931083,10750,3130083,29819,230,671231
0,3078,30.085573792233568,0.003027126,20,0,384,929792,10459,2905458,29755,230,671231
0,3079,30.088673667233564,0.003037167,20,0,384,867166,16750,2962500,29883,230,671231
0,3080,30.091495584233563,0.0028740433,20,0,384,881917,16292,3019166,29819,230,671231
0,3081,30.094327584233568,0.00283820857,20,0,384,917459,8625,2843458,29755,230,671231
0,3082,30.097298167233568,0.00286549749,20,0,384,912458,9458,2820792,29883,230,671231
0,3083,30.099888626233565,0.00266662426,20,0,384,861542,12500,2778125,29819,230,671231
0,3084,30.102824084233568,0.002914626,20,0,384,893625,11709,2813250,30143,230,671231
0,3085,30.105767667233565,0.00297716842,20,0,384,917250,13500,2984458,29883,231,671233
0,3086,30.108530459233563,0.00276378961,20,0,384,890250,10834,2820583,29819,231,671233
0,3087,30.111494751233565,0.00298387185,20,0,384,928083,8959,2874833,29755,231,671233
0,3088,30.115441084233566,0.00389808672,20,0,384,888166,11958,3916792,40325,231,671233
0,3089,30.119130376233564,0.00361099769,20,0,384,956500,11542,3627042,38099,231,671233
0,3090,30.122364376233563,0.00323616783,20,0,384,957041,9917,3150500,29755,231,671233
0,3091,30.126320751233564,0.00406066468,20,0,384,955333,18208,4044292,29883,231,671233
0,3092,30.129474751233566,0.00298467255,20,0,384,896500,11750,3051000,29819,231,671233
0,3093,30.132836251233563,0.00342708337,20,0,384,1025417,20333,3318709,29755,230,671231
0,3094,30.136036334233566,0.003312082,20,0,384,937500,18750,3332792,29883,230,671231
0,3095,30.139321876233566,0.00309870322,20,0,384,881542,13000,3213375,29819,230,671231
0,3096,30.142902417233564,0.00374579779,20,0,384,954041,13917,3646417,29755,230,671231
0,3097,30.145847209233565,0.00287112384,20,0,384,932500,10166,2954375,29883,230,671231
0,3098,30.148994709233563,0.00319241779,20,0,384,965208,14667,3106750,29819,230,671231
0,3099,30.152009751233564,0.00297883363,20,0,384,898291,17291,3043625,29755,230,671231
0,3100,30.155263084233567,0.003222456,20,0,384,987584,9584,3033500,29883,230,671231
0,3101,30.158530251233564,0.00317708333,20,1,384,962000,11584,3327417,29819,230,671231
0,3102,30.161928667233568,0.00345966546,20,1,384,941291,22125,3444708,29755,230,671231
0,3103,30.165181501233562,0.00331354165,20,1,384,981458,17875,3217458,30075,231,671251
0,3104,30.168425417233564,0.003175581,20,12,384,929125,13708,3283958,29819,231,671251
0,3105,30.171683334233563,0.00322058541,20,12,384,1022041,16917,3108792,29755,231,671251
0,3106,30.174921334233566,0.00323154056,20,12,384,978792,20583,3287125,29883,242,672577
0,3107,30.178816876233562,0.0038875,20,14,384,1024541,20041,3773417,29819,242,672577
0,3108,30.182157667233568,0.003446294,20,14,384,1002875,10625,3530125,29755,242,672577
0,3109,30.185449459233567,0.00325250137,20,14,384,950416,20250,3254709,29883,244,672649
0,3110,30.188887501233566,0.00350949541,20,14,384,1000416,15542,3339417,29819,244,672649
0,3111,30.192111334233566,0.00313917245,20,14,384,954792,13166,3382666,29819,244,672649
0,3112,30.195498542233565,0.00345703657,20,14,384,1022292,14709,3343667,29883,244,672651
0,3113,30.198683584233564,0.003063251,20,14,384,969792,11958,3138709,29819,244,672651
0,3114,30.201923959233568,0.003277296,20,14,384,955542,19834,3249542,29755,244,672651
0,3115,30.205335459233567,0.00348599767,20,14,384,1047084,10333,3360833,29883,244,672651
0,3116,30.208485334233565,0.003121705,20,14,384,945667,12583,3289000,29819,244,672651
0,3117,30.211437042233563,0.00308129261,20,14,384,992458,12125,3124209,29755,244,672651
0,3118,30.214653876233562,0.00317529053,20,14,384,923667,8000,3064917,29883,244,672651
0,3119,30.217822167233564,0.00314616645,20,14,384,902000,12792,3128542,29819,244,672651
0,3120,30.220821042233567,0.002883794,20,14,384,895750,8875,2960667,29755,244,672651
0,3121,30.223881709233567,0.0031422053,20,14,384,1028458,12000,3095000,30271,244,672651
0,3122,30.226829501233567,0.002969338,20,14,384,938542,17250,2980250,29819,245,672653
0,3123,30.229903667233565,0.00294170924,20,14,384,952291,9375,2930208,29755,245,672653
0,3124,30.232793459233562,0.00303858425,20,14,384,994084,20125,3062375,29883,245,672653
0,3125,30.235610251233567,0.00281887036,20,14,384,957292,8833,2846000,29819,245,672653
0,3126,30.238874751233567,0.00320183532,20,14,384,947375,10875,3058250,29755,245,672653
0,3127,30.241661001233567,0.0028864583,20,14,384,898292,17167,2997500,29883,245,672653
0,3128,30.244701834233567,0.003015207,20,14,384,920917,9875,2983875,29819,245,672653
0,3129,30.247808876233563,0.003024001,20,15,384,926792,14958,3096833,29755,245,672653
0,3130,30.251144459233565,0.00345366355,20,15,384,992500,17042,3296916,29883,245,672653
0,3131,30.254150001233562,0.00289496174,20,15,384,923792,8875,2991333,29819,246,672673
0,3132,30.257393792233565,0.00315645547,20,15,384,1022834,10750,3111209,29755,246,672673
0,3133,30.260805084233567,0.003546379,20,16,384,949667,19833,3387416,29883,246,672673
0,3134,30.264361334233563,0.00352478749,20,16,384,943500,12750,3482500,29819,246,672673
0,3135,30.268249501233562,0.0038859623,20,17,384,958500,11917,4094584,40197,247,672693
0,3136,30.272185251233566,0.00394758349,20,17,384,988875,10583,3864916,38215,247,672693
0,3137,30.276724584233563,0.004458454,20,17,384,955291,12292,4216083,29819,248,672711
0,3138,30.280274542233563,0.00358762755,20,18,384,969666,12250,3808375,29755,248,672711
0,3139,30.283554001233568,0.00323404185,20,18,384,949042,16750,3282792,29883,248,672711
0,3140,30.286845292233565,0.0033484553,20,18,384,989750,15417,3301375,29819,249,672731
0,3141,30.290197042233565,0.00333137764,20,19,384,965584,15000,3404333,29755,249,672731
0,3142,30.293320417233566,0.0031200042,20,19,384,997333,14959,3099750,29883,248,672729
0,3143,30.296858667233565,0.00338628818,20,19,384,964375,17209,3198250,29819,249,672749
0,3144,30.300057917233566,0.00338446,20,19,384,1002250,19750,3472000,29755,249,672749
0,3145,30.303649376233565,0.00355795771,20,19,384,972833,13875,3503583,29883,249,672749
0,3146,30.306899376233567,0.00326758088,20,19,384,1008791,12000,3335625,29819,249,672749
0,3147,30.310298876233567,0.00326721231,20,19,384,972125,17875,3251666,29755,249,672749
0,3148,30.313729834233563,0.00353516149,20,19,384,1080250,12708,3495875,29883,249,672749
0,3149,30.317253417233566,0.00345946,20,19,384,976625,19083,3507750,29819,249,672749
0,3150,30.320689709233562,0.00348487822,20,19,384,950792,18375,3495000,29755,249,672749
0,3151,30.323991126233565,0.0033826672,20,19,384,1028792,17209,3286416,29883,249,672749
0,3152,30.327306209233562,0.003181661,20,19,384,943667,12375,3243958,29819,249,672749
0,3153,30.330683959233568,0.00351692177,20,19,384,1025333,16083,3453542,29755,249,672749
0,3154,30.334366959233563,0.00337278913,20,57,384,927500,16958,3362000,29883,249,672749
0,3155,30.337976042233564,0.00375824841,20,57,384,1230000,13542,3818625,29819,249,672749
0,3156,30.341878501233566,0.00373508362,20,61,384,992292,18750,3688750,29819,287,679843
0,3157,30.345668167233562,0.004022045,20,61,384,1126917,15333,3921917,30271,287,679845
0,3158,30.349004376233566,0.00333916536,20,61,384,1061583,12000,3458458,29819,292,679927
0,3159,30.352778626233565,0.00373883219,20,61,384,1039583,12417,3628041,29755,292,679927
0,3160,30.356358167233566,0.0037062075,20,61,384,1011875,18875,3784542,29883,292,679927
0,3161,30.359619834233563,0.00309562776,20,61,384,948750,11583,3189292,29819,291,679925
0,3162,30.362915251233566,0.003325914,20,61,384,1014625,14667,3197042,29755,291,679925
0,3163,30.366200584233567,0.003361834,20,61,384,1038250,17709,3487625,29883,291,679925
0,3164,30.369552959233566,0.0033173752,20,61,384,1018041,10125,3221875,29819,291,679925
0,3165,30.373206709233564,0.00358078931,20,61,384,1006708,20209,3571500,29755,291,679925
0,3166,30.376770876233564,0.003622208,20,61,384,1068334,12667,3573083,29883,291,679925
0,3167,30.380237792233565,0.00356550445,20,61,384,995500,12166,3545209,29819,291,679925
0,3168,30.383522376233564,0.00318666385,20,61,384,947584,14667,3270958,29755,291,679925
0,3169,30.386658709233565,0.003274001,20,61,384,1057458,15542,3329250,30187,291,679925
0,3170,30.389733584233568,0.00307100336,20,61,384,918666,15667,3092458,29819,290,679923
0,3171,30.392779626233562,0.00298845675,20,61,384,968166,11625,2951750,29755,290,679923
0,3172,30.396032542233563,0.00322337728,20,61,384,969416,13542,3201208,29883,290,679923
0,3173,30.399116042233565,0.00299041253,20,61,384,968416,17250,3091375,29819,290,679923
0,3174,30.402122876233562,0.00315496023,20,61,384,1017500,12416,3127875,29755,290,679923
0,3175,30.405278292233568,0.0031122095,20,61,384,993208,11333,2976625,29883,290,679923
0,3176,30.408411417233566,0.003144416,20,61,384,966208,19583,3199167,29819,290,679923
0,3177,30.412096459233567,0.00355191319,20,61,384,1018916,10250,3502209,29755,290,679923
0,3178,30.415576709233562,0.00359900086,20,61,384,1049792,23000,3476875,29883,290,679923
0,3179,30.419771376233562,0.004189123,20,61,384,982333,17166,4291125,40261,290,679923
