phase,unity_frame,wall_seconds,unscaled_delta,tick,native_meshes,allocated_views,zone_renderer,input,main_thread,gc_bytes,draw_calls,triangles
0,3044,29.154565583900233,0.00302545354,20,0,384,936125,17958,3235542,29819,231,671231
0,3045,29.171042375900232,0.008058546,20,0,384,5305792,9625,7951167,48245,231,671231
0,3046,29.174592500900228,0.0165274162,20,0,384,3841750,16834,16517875,174482,231,671231
0,3047,29.177827000900233,0.003214541,20,0,384,900583,17542,3259333,29819,231,671235
0,3048,29.182121333900231,0.0043900013,20,0,384,951750,17167,4378834,29755,231,671235
0,3049,29.18527079290023,0.00310891448,20,0,384,913041,11833,3116250,29883,231,671235
0,3050,29.188539292900234,0.00319333188,20,0,384,957292,17125,3113875,29819,231,671235
0,3051,29.191605083900232,0.0031676658,20,0,384,1016458,19500,3296542,29755,231,671235
0,3052,29.194711583900233,0.003156753,20,0,384,976125,13791,3055417,29883,231,671235
0,3053,29.198884708900234,0.00419153925,20,0,384,890583,16792,4224709,40261,231,671235
0,3054,29.202830542900234,0.003809375,20,0,384,934208,10875,3788959,38087,231,671235
0,3055,29.206387417900235,0.00367595674,20,0,384,959417,11042,3483708,29883,231,671235
0,3056,29.209703708900232,0.003149589,20,0,384,930625,11708,3306250,29819,231,671235
0,3057,29.213715250900233,0.00381141575,20,0,384,1051333,18250,3612916,29755,231,671235
0,3058,29.217416167900229,0.00392970536,20,0,384,1065417,17500,4032917,30271,231,671235
0,3059,29.221585375900229,0.00387233566,20,0,384,984792,14917,3742625,29819,232,671237
0,3060,29.225372375900232,0.00398891745,20,0,384,1092458,18417,4109834,29755,232,671237
0,3061,29.229262000900231,0.00393896,20,0,384,1048084,22000,3872792,29883,232,671237
0,3062,29.23309433390023,0.00391449826,20,0,384,1056292,11791,3923625,29819,232,671237
0,3063,29.236487750900235,0.00337608415,20,0,384,967750,15875,3545250,29755,232,671237
0,3064,29.240806417900234,0.00416571,20,0,384,985041,16958,3925417,29883,232,671237
0,3065,29.244810875900232,0.004192,20,0,384,1041875,16458,4185000,29819,231,671235
0,3066,29.248968542900233,0.004137911,20,0,384,1004375,12209,4192708,29755,231,671235
0,3067,29.252767708900233,0.00384766865,20,0,384,1005458,13167,3890417,29883,231,671235
0,3068,29.25720433390023,0.004429918,20,0,384,931375,15958,4485292,29819,231,671235
0,3069,29.261061792900232,0.003738081,20,0,384,972166,11167,3702583,29755,231,671235
0,3070,29.26549258390023,0.004596124,20,0,384,939667,14750,4648625,29883,231,671235
0,3071,29.268519500900229,0.0030423752,20,0,384,952541,10625,3124459,29819,231,671235
0,3072,29.272599583900234,0.00339396251,20,0,384,995292,8125,3125417,29755,231,671235
0,3073,29.276802292900232,0.004396166,20,0,384,1514375,23958,4514291,29883,231,671235
