phase,unity_frame,wall_seconds,unscaled_delta,tick,native_meshes,allocated_views,zone_renderer,input,main_thread,gc_bytes,draw_calls,triangles
0,2951,28.482422295968252,0.002625999,20,0,384,882708,10375,2790125,29819,227,671223
0,2952,28.499421003968255,0.007439463,20,0,384,4958541,10041,7309000,48237,227,671223
0,2953,28.503007961968255,0.0172216631,20,0,384,3907709,19208,17175916,173978,227,671223
0,2954,28.506119378968254,0.00329758367,20,0,384,963459,11583,3353333,30123,228,671227
0,2955,28.509397878968255,0.00323266722,20,0,384,935875,15125,3153958,29755,228,671227
0,2956,28.512737336968254,0.003305336,20,0,384,943041,20917,3299291,29883,228,671227
0,2957,28.516086628968257,0.00348591269,20,0,384,969125,20583,3387958,29819,228,671227
0,2958,28.519471336968255,0.00341146532,20,0,384,894709,11791,3590958,39957,228,671227
0,2959,28.523235628968255,0.00359550025,20,0,384,897666,10125,3532208,29883,228,671227
0,2960,28.526359170968252,0.003162911,20,0,384,951584,12208,3167750,29819,228,671227
0,2961,28.529429003968257,0.00308583467,20,0,384,977125,12750,3086083,29755,228,671227
0,2962,28.532568211968258,0.00315212575,20,0,384,969375,11417,3092250,29883,228,671227
0,2963,28.535524670968254,0.00296162837,20,0,384,918792,18500,3110667,29819,228,671227
0,2964,28.538708670968258,0.0031747024,20,0,384,960917,11458,2903917,29755,228,671227
0,2965,28.542261378968252,0.00344946142,20,0,384,930209,14125,3523708,29883,228,671227
0,2966,28.545347670968258,0.00319833471,20,0,384,933125,11958,3238667,30207,228,671227
0,2967,28.549449086968256,0.0040695793,20,0,384,922666,15000,4060792,40197,229,671229
0,2968,28.552940503968255,0.00361229456,20,0,384,950917,13125,3721417,38163,229,671229
0,2969,28.556410920968258,0.0033649588,20,0,384,892167,10625,3265125,29819,229,671229
0,2970,28.559643836968252,0.00325454213,20,0,384,955666,11250,3239916,29755,229,671229
0,2971,28.562633003968255,0.00290408172,20,0,384,943542,17542,2982333,29883,229,671229
0,2972,28.565956628968255,0.003315795,20,0,384,917125,16375,3193375,29819,229,671229
0,2973,28.568887753968259,0.00300224638,20,0,384,973083,24834,3191208,29755,229,671229
0,2974,28.572106378968254,0.00328216422,20,0,384,979542,15667,3011292,29883,229,671229
0,2975,28.575281836968255,0.00312308664,20,0,384,918834,11083,3275791,29819,229,671229
0,2976,28.578155420968255,0.00288974633,20,0,384,936792,16958,3007750,29755,229,671229
0,2977,28.581626503968256,0.00326608564,20,0,384,943458,16500,3070417,29883,229,671229
0,2978,28.584939961968256,0.00349749858,20,0,384,1094875,13041,3516292,29819,229,671229
0,2979,28.588019211968255,0.00297233555,20,0,384,922833,20333,3102541,29755,229,671229
0,2980,28.591531628968259,0.00361616351,20,0,384,1062792,11792,3478334,29883,229,671229
0,2981,28.594751003968259,0.0031322916,20,0,384,941958,18083,3203125,29819,229,671229
0,2982,28.598170003968253,0.00350150233,20,0,384,1027166,12417,3405958,29755,229,671229
0,2983,28.601471586968255,0.00325004244,20,0,384,952125,17709,3275250,29883,229,671229
0,2984,28.604792878968258,0.00325724925,20,0,384,989333,20792,3293083,29819,229,671229
0,2985,28.608334253968255,0.00360508775,20,1,384,941000,19791,3475209,29755,229,671229
0,2986,28.611928836968257,0.00356653915,20,1,384,967958,17417,3546584,29883,229,671229
0,2987,28.615248628968256,0.00343854167,20,1,384,954417,25458,3536166,29819,230,671249
0,2988,28.618241003968254,0.00291170646,20,9,384,900750,18917,3038375,29755,230,671249
0,2989,28.621753961968256,0.003460041,20,9,384,986875,17125,3302167,29883,230,671249
0,2990,28.624967170968258,0.0033112953,20,9,384,936916,14750,3365583,29819,238,672091
0,2991,28.628070170968254,0.00300474768,20,11,384,954125,18875,3017834,29755,238,672091
0,2992,28.631874461968255,0.00380733423,20,11,384,1053208,16292,3630167,29883,238,672091
0,2993,28.635291711968254,0.00336533436,20,11,384,1009667,18083,3456291,29819,239,672161
0,2994,28.638884045968258,0.003652792,20,11,384,1060208,19166,3706000,29755,239,672161
0,2995,28.642595461968259,0.00370266452,20,11,384,1012125,16833,3477542,30011,239,672161
0,2996,28.645817003968258,0.003244331,20,11,384,963250,14667,3419375,29819,239,672165
0,2997,28.649221545968256,0.003453458,20,11,384,1020500,17667,3395292,29755,239,672165
0,2998,28.652241211968256,0.0031173327,20,11,384,949750,18458,3176791,29883,239,672165
0,2999,28.655222461968254,0.00292950682,20,11,384,915625,17166,2917334,29819,239,672165
0,3000,28.658352170968254,0.00312991068,20,11,384,971458,10166,3196041,29755,239,672165
0,3001,28.661198211968259,0.00287317182,20,11,384,960125,10041,2884125,29883,239,672165
