frame,seconds,phase,engine_frame_ms,COO.ZoneRenderer.LateUpdate,COO.Input.Update,Main Thread,GC Allocated In Frame,Draw Calls Count,Triangles Count,SetPass Calls Count,Render Textures Count,Render Textures Bytes,Texture Memory,GPU Frame Time
0,0.001265,idle,2.844919,876083,11042,2932583,29409,140,7879,150,43,177562876,286778457,858416
1,0.005104,idle,4.063457,873375,9458,3749500,30329,140,7879,150,43,177562876,286778457,732333
2,0.008279,idle,3.242460,950125,18208,3360209,29421,140,7879,150,43,177562876,286778457,715833
3,0.010910,idle,2.759127,911042,15417,2963333,29357,140,7879,150,43,177562876,286778457,711166
4,0.013596,idle,2.658248,795459,7916,2525542,29681,140,7879,150,43,177562876,286778457,1248124
5,0.016574,idle,2.872293,849375,10125,2724750,29421,141,7881,150,43,177562876,286778457,778750
6,0.019099,idle,2.692708,936583,11166,2937000,29357,141,7881,150,43,177562876,286778457,787916
7,0.021815,idle,2.516915,814709,7959,2481084,29293,141,7881,150,43,177562876,286778457,964625
8,0.025071,idle,3.362961,929250,12959,3284458,29421,141,7881,150,43,177562876,286778457,833124
9,0.027677,idle,2.632752,837333,15125,2728083,29357,141,7881,150,43,177562876,286778457,732041
10,0.030618,idle,2.947414,854542,11833,2880333,29293,141,7881,150,43,177562876,286778457,1180374
11,0.033807,idle,3.151290,858417,9916,3136291,29421,141,7881,150,43,177562876,286778457,718083
12,0.036596,idle,2.734998,871792,12583,2803584,29357,141,7881,150,43,177562876,286778457,763708
13,0.039407,idle,2.792751,933375,12917,2807250,29293,141,7881,150,43,177562876,286778457,715999
14,0.042938,idle,3.614172,973417,7792,3449708,29421,141,7881,150,43,177562876,286778457,714416
15,0.046757,idle,3.736869,851542,11041,3662292,29357,141,7881,150,43,177562876,286778457,1274624
16,0.049780,idle,2.955463,882833,18916,3111167,29293,141,7881,150,43,177562876,286778457,726041
17,0.052346,idle,2.779578,999750,14334,2829167,29421,141,7881,150,43,177562876,286778457,710499
18,0.054927,idle,2.418169,828166,7709,2420792,29357,141,7881,150,43,177562876,286778457,1231499
19,0.058142,idle,3.232752,934541,14292,2995416,29293,141,7881,150,43,177562876,286778457,857208
20,0.060878,idle,2.849582,906917,13292,3085542,29421,141,7881,150,43,177562876,286778457,717999
21,0.063468,idle,2.537330,819292,9708,2457709,29357,141,7881,150,43,177562876,286778457,1208041
22,0.066797,idle,3.258418,873083,15500,3013167,29293,141,7881,150,43,177562876,286778457,854499
23,0.070100,idle,3.401963,910583,17084,3688791,39797,140,7879,150,43,177562876,286778457,721249
24,0.073630,idle,3.410076,841875,15458,3402250,37593,140,7879,150,43,177562876,286778457,1079624
25,0.076410,idle,2.918920,988000,11750,2896250,29293,140,7879,150,43,177562876,286778457,828958
26,0.079870,idle,3.295500,858167,11084,3096000,29421,140,7879,150,43,177562876,286778457,76125
27,0.082607,idle,2.673668,938459,21666,2863708,29357,140,7879,150,43,177562876,286778457,921916
28,0.085168,idle,2.880081,1015375,13125,2923375,29293,140,7879,150,43,177562876,286778457,1456916
29,0.087558,idle,2.338414,784208,6791,2384125,29421,140,7879,150,43,177562876,286778457,725375
30,0.089939,idle,2.377714,816916,5916,2360167,29357,140,7879,150,43,177562876,286778457,807499
31,0.092639,idle,2.695082,846750,5208,2638834,29293,140,7879,150,43,177562876,286778457,708375
32,0.095494,idle,2.674830,830833,8042,2659000,29421,140,7879,150,43,177562876,286778457,724375
33,0.098471,idle,3.081838,1001750,10000,3062209,29357,140,7879,150,43,177562876,286778457,722374
34,0.101144,idle,2.663875,873833,13917,2657750,29293,140,7879,150,43,177562876,286778457,713750
35,0.104226,idle,3.042248,898083,8500,2739958,29421,140,7879,150,43,177562876,286778457,1232208
36,0.107417,idle,3.177374,887958,16875,3242208,29357,140,7879,150,43,177562876,286778457,723166
37,0.110126,idle,2.819005,915750,13750,3114583,29293,140,7879,150,43,177562876,286778457,736416
38,0.113243,idle,3.071705,863042,8083,2917667,29421,140,7879,150,43,177562876,286778457,1193749
39,0.116149,idle,2.769622,871750,12375,2701583,29357,140,7879,150,43,177562876,286778457,850624
40,0.118748,idle,2.800631,955416,13750,2966291,29293,140,7879,150,43,177562876,286778457,782291
41,0.121509,idle,2.544622,845208,8375,2547000,29421,140,7879,150,43,177562876,286778457,719625
42,0.124381,idle,2.889123,977791,21583,2756625,29357,140,7879,150,43,177562876,286778457,867333
43,0.126938,idle,2.749922,975583,13958,2879125,29293,139,7877,150,43,177562876,286778457,716791
44,0.129533,idle,2.460622,844167,9125,2493000,29421,139,7877,150,43,177562876,286778457,1214999
45,0.132433,idle,2.756540,933375,6416,2639709,29745,139,7877,150,43,177562876,286778457,934749
46,0.135067,idle,2.933879,1002584,26917,2988292,29293,140,7879,150,43,177562876,286778457,719750
47,0.137708,idle,2.589916,822417,8709,2603500,29421,140,7879,150,43,177562876,286778457,1220833
48,0.140649,idle,2.581916,874167,9209,2486041,29357,140,7879,150,43,177562876,286778457,829249
49,0.143496,idle,3.240377,1061875,61416,3306958,29293,140,7879,150,43,177562876,286778457,713416
50,0.146000,idle,2.519083,834791,11625,2560292,29421,140,7879,150,43,177562876,286778457,1239458
51,0.148559,idle,2.424079,818375,9834,2426875,29357,140,7879,150,43,177562876,286778457,1046875
52,0.151165,idle,2.722832,968250,7250,2681708,29293,140,7879,150,43,177562876,286778457,745291
53,0.153655,idle,2.497584,853250,7583,2525500,29421,140,7879,150,43,177562876,286778457,728208
54,0.156622,idle,2.905045,842584,7042,2848333,29357,140,7879,150,43,177562876,286778457,838750
55,0.159358,idle,2.796705,903667,7208,2812708,29293,140,7879,150,43,177562876,286778457,725499
56,0.161820,idle,2.452587,842041,8542,2507500,29421,140,7879,150,43,177562876,286778457,723749
57,0.164572,idle,2.663251,844167,7417,2623208,29357,140,7879,150,43,177562876,286778457,721624
58,0.167297,idle,2.819622,933500,9792,2757542,29293,140,7879,150,43,177562876,286778457,712791
59,0.169854,idle,2.550170,851500,6916,2598708,29421,140,7879,150,43,177562876,286778457,720124
60,0.172625,idle,2.767999,839250,11666,2750750,29357,140,7879,150,43,177562876,286778457,836624
61,0.175597,idle,2.959538,852417,9875,2931583,29293,140,7879,150,43,177562876,286778457,723958
62,0.178173,idle,2.584460,855458,9125,2613167,29421,140,7879,150,43,177562876,286778457,725124
63,0.180867,idle,2.719877,836416,13083,2724084,29357,140,7879,150,43,177562876,286778457,721374
64,0.183656,idle,2.789002,817084,10625,2755458,29293,140,7879,150,43,177562876,286778457,703875
65,0.186068,idle,2.434332,817458,10084,2497209,29421,140,7879,150,43,177562876,286778457,722124
66,0.188728,idle,2.493495,823083,6667,2314959,29357,140,7879,150,43,177562876,286778457,728375
67,0.191691,idle,3.043920,936000,12417,3109833,29293,140,7879,150,43,177562876,286778457,706999
68,0.194344,idle,2.670628,845708,15542,2702459,29421,140,7879,150,43,177562876,286778457,722166
69,0.197371,idle,2.987578,838583,12000,2970750,29357,140,7879,150,43,177562876,286778457,1077375
70,0.200503,idle,3.130421,894167,12375,3094042,29293,140,7879,150,43,177562876,286778457,713875
71,0.202874,idle,2.462330,883750,10291,2567083,29473,140,7879,150,43,177562876,286778457,724875
72,0.205716,idle,2.788379,836583,8083,2660708,29357,140,7879,150,43,177562876,286778457,725041
73,0.208598,idle,2.909460,863833,10667,2959500,29293,140,7879,150,43,177562876,286778457,705583
74,0.211010,idle,2.435750,842708,9875,2490209,29421,140,7879,150,43,177562876,286778457,722458
75,0.213818,idle,2.722166,838417,6875,2565000,29357,140,7879,150,43,177562876,286778457,803833
76,0.216959,idle,3.139704,874500,13041,3126417,29293,140,7879,150,43,177562876,286778457,717999
77,0.220053,idle,3.155336,892208,10458,3295500,39797,140,7879,150,43,177562876,286778457,722249
78,0.223602,idle,3.264123,853458,9667,3243167,37593,140,7879,150,43,177562876,286778457,983291
79,0.226314,idle,3.043672,1107334,8834,3051959,29293,140,7879,150,43,177562876,286778457,713750
80,0.229445,idle,3.067205,797666,9292,2916792,29421,140,7879,150,43,177562876,286778457,76458
81,0.231976,idle,2.453706,851584,9000,2640208,29357,140,7879,150,43,177562876,286778457,926124
82,0.234620,idle,2.730421,944083,11125,2624083,29293,139,7877,150,43,177562876,286778457,1439249
83,0.237322,idle,2.686125,852625,8667,2625083,29421,139,7877,150,43,177562876,286778457,735374
84,0.240056,idle,2.642453,860791,9167,2684167,29357,139,7877,150,43,177562876,286778457,726874
85,0.242612,idle,2.668715,941250,9458,2759333,29293,139,7877,150,43,177562876,286778457,714999
86,0.245599,idle,2.776580,847958,9417,2673916,29421,139,7877,150,43,177562876,286778457,720749
87,0.248337,idle,2.846747,1026833,21000,2936500,29357,139,7877,150,43,177562876,286778457,739583
