frame,seconds,phase,engine_frame_ms,COO.ZoneRenderer.LateUpdate,COO.Input.Update,Main Thread,GC Allocated In Frame,Draw Calls Count,Triangles Count,SetPass Calls Count,Render Textures Count,Render Textures Bytes,Texture Memory,GPU Frame Time
0,0.001375,idle,3.041539,866000,13959,3017833,29751,138,7875,150,43,177562876,286778461,738208
1,0.004346,idle,3.451169,892542,11917,3580292,30301,138,7875,150,43,177562876,286778461,746374
2,0.007185,idle,2.821542,904542,11125,2840875,29341,138,7875,150,43,177562876,286778461,988458
3,0.009857,idle,2.744126,906417,11542,2747291,29277,138,7875,150,43,177562876,286778461,729999
4,0.012375,idle,2.554330,863750,7458,2549459,29213,138,7875,150,43,177562876,286778461,1020874
5,0.015623,idle,3.024624,831042,8083,2790958,29341,138,7875,150,43,177562876,286778461,722749
6,0.018422,idle,2.937712,924667,16708,3106208,29665,138,7875,150,43,177562876,286778461,729416
7,0.020852,idle,2.552161,890208,9000,2599000,29213,139,7877,150,43,177562876,286778461,719833
8,0.023806,idle,2.814583,790708,9542,2593708,29341,139,7877,150,43,177562876,286778461,750541
9,0.026711,idle,2.880797,876458,13459,3024667,29277,139,7877,150,43,177562876,286778461,728374
10,0.029267,idle,2.653911,910958,17666,2717250,29213,139,7877,150,43,177562876,286778461,716750
11,0.032447,idle,3.101332,847334,8667,2931667,29341,139,7877,150,43,177562876,286778461,718625
12,0.035603,idle,3.120004,891459,12625,3059875,29277,139,7877,150,43,177562876,286778461,740291
13,0.038850,idle,3.231831,926542,12458,3261542,29213,139,7877,150,43,177562876,286778461,719000
14,0.042086,idle,3.259878,922208,11542,3214375,29341,139,7877,150,43,177562876,286778461,813791
15,0.045019,idle,2.911664,871250,14584,3051458,29277,139,7877,150,43,177562876,286778461,728874
16,0.048512,idle,3.493502,951291,11125,3259958,29213,139,7877,150,43,177562876,286778461,716916
17,0.051473,idle,3.068289,896291,18250,3262875,29341,139,7877,150,43,177562876,286778461,777291
18,0.054299,idle,2.734588,842042,11958,2803625,29277,139,7877,150,43,177562876,286778461,796916
19,0.057245,idle,2.945578,934542,11583,2831542,29213,139,7877,150,43,177562876,286778461,896624
20,0.059921,idle,2.748916,894791,17708,2825959,29341,139,7877,150,43,177562876,286778461,731125
21,0.062363,idle,2.505173,838250,13834,2581500,29277,139,7877,150,43,177562876,286778461,1265833
22,0.065082,idle,2.658121,836584,7084,2573917,29213,139,7877,150,43,177562876,286778461,735625
23,0.068078,idle,3.008921,874208,9000,2958417,29341,139,7877,150,43,177562876,286778461,716750
24,0.070919,idle,2.676205,855917,10041,2726375,29277,139,7877,150,43,177562876,286778461,724041
25,0.073933,idle,3.116667,1016042,12833,3078333,29213,139,7877,150,43,177562876,286778461,716625
26,0.076865,idle,2.956916,903125,12458,2917791,29341,139,7877,150,43,177562876,286778461,730999
27,0.079566,idle,2.719168,877750,11959,2754458,29277,139,7877,150,43,177562876,286778461,1119583
28,0.083735,idle,4.099582,854250,7459,3924625,39589,139,7877,150,43,177562876,286778461,721458
29,0.086929,idle,3.292666,908916,12792,3454625,37577,139,7877,150,43,177562876,286778461,726291
30,0.089808,idle,2.874376,842959,13292,2815250,29277,139,7877,150,43,177562876,286778461,1506500
31,0.092888,idle,2.966957,842875,11584,2965000,29213,139,7877,150,43,177562876,286778461,76749
32,0.095702,idle,2.907171,946500,10625,2923791,29341,139,7877,150,43,177562876,286778461,799875
33,0.098708,idle,2.960204,870167,10542,2970875,29277,139,7877,150,43,177562876,286778461,1531708
34,0.101398,idle,2.746584,891083,12125,2815667,29213,139,7877,150,43,177562876,286778461,713499
35,0.104459,idle,2.923413,874917,9292,2827125,29341,139,7877,150,43,177562876,286778461,722041
36,0.107255,idle,2.925751,954584,13083,2968959,29277,139,7877,150,43,177562876,286778461,1039125
37,0.109760,idle,2.578252,876500,11500,2654666,29213,139,7877,150,43,177562876,286778461,716999
38,0.112135,idle,2.378295,819333,7291,2407917,29341,139,7877,150,43,177562876,286778461,1191125
39,0.114687,idle,2.284538,827166,6792,2282166,29277,139,7877,150,43,177562876,286778461,728458
40,0.117622,idle,3.094749,1070541,7042,2918250,29213,139,7877,150,43,177562876,286778461,722541
41,0.120360,idle,2.738209,881166,10458,2799500,29341,139,7877,150,43,177562876,286778461,721749
42,0.123097,idle,2.758879,886541,10584,2674041,29277,139,7877,150,43,177562876,286778461,1155750
43,0.125974,idle,2.865250,850958,15125,2954584,29213,139,7877,150,43,177562876,286778461,719125
44,0.128625,idle,2.705208,896833,10041,2719875,29341,139,7877,150,43,177562876,286778461,727624
45,0.131629,idle,2.951120,845208,12083,2872125,29277,139,7877,150,43,177562876,286778461,790500
46,0.134566,idle,2.907292,862042,11000,2944459,29213,139,7877,150,43,177562876,286778461,710999
47,0.137174,idle,2.674256,872916,10208,2726667,29729,139,7877,150,43,177562876,286778461,724583
48,0.140278,idle,2.938542,845583,14916,2783709,29277,140,7879,150,43,177562876,286778461,723708
49,0.143116,idle,3.004245,965042,11542,3088292,29213,140,7879,150,43,177562876,286778461,714041
50,0.145974,idle,2.785417,858250,8625,2796000,29341,140,7879,150,43,177562876,286778461,719708
