frame,seconds,phase,engine_frame_ms,COO.ZoneRenderer.LateUpdate,COO.Input.Update,Main Thread,GC Allocated In Frame,Draw Calls Count,Triangles Count,SetPass Calls Count,Render Textures Count,Render Textures Bytes,Texture Memory,GPU Frame Time
0,0.001367,idle,3.233128,902666,12833,3254959,29293,215,583703,60,45,197105184,284262122,1392875
1,0.005104,idle,4.093375,924125,20000,3907125,30623,215,583703,60,45,197105184,284262122,1373166
2,0.008456,idle,3.390830,874334,12334,3493458,29357,215,583703,60,45,197105184,284262122,1370208
3,0.011757,idle,3.328791,889583,12042,3278250,29293,215,583703,60,45,197105184,284262122,1371458
4,0.015364,idle,3.671918,872167,11750,3826125,39797,215,583703,60,45,197105184,284262122,1410083
5,0.019527,idle,4.162422,863792,9583,3768041,37593,215,583703,60,45,197105184,284262122,1356499
6,0.022740,idle,3.050411,847167,10000,3446167,37453,215,583703,60,45,197105184,284262122,1380041
7,0.026669,idle,3.906292,923250,14083,3479000,29809,215,583703,60,45,197105184,284262122,820666
8,0.029983,idle,3.427707,911042,13041,3730625,29357,216,583705,60,45,197105184,284262122,1530250
9,0.033209,idle,3.264583,880292,15791,3233167,29293,216,583705,60,45,197105184,284262122,2024333
10,0.036578,idle,3.396627,877125,11666,3373416,29421,216,583705,60,45,197105184,284262122,1362416
11,0.039520,idle,2.912458,862166,10875,3007542,29357,216,583705,60,45,197105184,284262122,1406499
12,0.043274,idle,3.589498,846708,12542,3291250,29293,216,583705,60,45,197105184,284262122,1353375
13,0.046666,idle,3.517793,956292,16292,3692958,29421,215,583703,60,45,197105184,284262122,1382499
14,0.049768,idle,3.108043,845709,11709,3206291,29357,215,583703,60,45,197105184,284262122,1389875
15,0.053052,idle,3.299915,881750,14334,3259333,29345,215,583703,60,45,197105184,284262122,1482750
16,0.056027,idle,3.057171,851084,22333,3015792,29421,215,583703,60,45,197105184,284262122,1406874
17,0.059038,idle,2.882164,832459,11250,2978708,29357,215,583703,60,45,197105184,284262122,1357750
18,0.062087,idle,3.068211,906667,15292,2994667,29293,215,583703,60,45,197105184,284262122,1389499
19,0.065521,idle,3.367496,877000,17708,3333250,29421,215,583703,60,45,197105184,284262122,1414166
20,0.068839,idle,3.422796,907708,11875,3396167,29357,215,583703,60,45,197105184,284262122,1371791
21,0.071978,idle,3.115993,876792,11458,3216458,29293,215,583703,60,45,197105184,284262122,1397749
