frame,seconds,phase,engine_frame_ms,COO.ZoneRenderer.LateUpdate,COO.Input.Update,Main Thread,GC Allocated In Frame,Draw Calls Count,Triangles Count,SetPass Calls Count,Render Textures Count,Render Textures Bytes,Texture Memory,GPU Frame Time
0,0.001589,idle,6.796627,1106791,10667,6818291,29289,221,652413,55,45,197105184,288323814,2128750
1,0.008950,idle,7.859170,1127667,9625,7738000,30619,221,652413,55,45,197105184,288323814,3547500
2,0.015946,idle,7.034665,1044791,10292,6862125,29353,221,652413,55,45,197105184,288323814,1532374
3,0.032949,idle,16.830789,984583,11125,7875292,40053,221,652413,55,45,197105184,288323814,1506250
4,0.037922,idle,4.893998,1098792,13375,17109084,37653,222,652415,55,45,197105184,288323814,2412041
5,0.041586,idle,4.046917,1040667,17875,4070667,29353,222,652415,55,45,197105184,288323814,3572750
6,0.044708,idle,2.972499,930167,11917,3169292,29289,221,652413,55,45,197105184,288323814,901499
7,0.048425,idle,3.803671,1039875,10375,3518916,29417,221,652413,55,45,197105184,288323814,1693916
8,0.051794,idle,3.385707,926625,12959,3452792,29353,221,652413,55,45,197105184,288323814,3739916
9,0.056186,idle,4.362457,961625,10375,4376625,29289,220,652411,55,45,197105184,288323814,3757250
10,0.059368,idle,3.304167,915125,11750,3292583,29417,220,652411,55,45,197105184,288323814,1859666
11,0.063254,idle,3.533206,894291,12125,3353833,29353,220,652411,55,45,197105184,288323814,1493250
12,0.067007,idle,4.010169,1051834,20584,4137750,29289,220,652411,55,45,197105184,288323814,1641999
13,0.070659,idle,3.547045,953792,12209,3482250,29417,220,652411,55,45,197105184,288323814,1482125
14,0.074489,idle,3.957625,1052709,10792,3968208,29353,220,652411,55,45,197105184,288323814,3658166
15,0.077961,idle,3.287876,920500,10750,3440500,29289,220,652411,55,45,197105184,288323814,1705333
16,0.081452,idle,3.760041,1016250,12000,3598541,29417,220,652411,55,45,197105184,288323814,3475000
17,0.084574,idle,2.972704,862292,10584,3096333,29353,220,652411,55,45,197105184,288323814,1555291
18,0.088244,idle,3.813209,970583,13875,3785750,29289,220,652411,55,45,197105184,288323814,2843874
19,0.091774,idle,3.475375,887333,10334,3388584,29417,220,652411,55,45,197105184,288323814,1833874
20,0.094925,idle,2.978415,940833,9875,3119459,29353,220,652411,55,45,197105184,288323814,2038541
21,0.098785,idle,3.952168,941541,19833,3747542,29289,220,652411,55,45,197105184,288323814,2826083
22,0.102563,idle,3.859333,902709,11625,3857250,29417,220,652411,55,45,197105184,288323814,1691333
23,0.106312,idle,3.784751,909791,9833,3845541,29353,220,652411,55,45,197105184,288323814,3540666
24,0.109435,idle,3.103210,866625,10917,3188458,29289,220,652411,55,45,197105184,288323814,1677750
25,0.112955,idle,3.535913,849084,12958,3441042,29417,220,652411,55,45,197105184,288323814,1531125
26,0.116615,idle,3.528125,891917,11917,3540250,29353,220,652411,55,45,197105184,288323814,1765541
27,0.120026,idle,3.427048,945542,10166,3486791,29289,220,652411,55,45,197105184,288323814,1489458
28,0.123649,idle,3.748916,915250,20209,3526417,29417,220,652411,55,45,197105184,288323814,3193166
29,0.126742,idle,2.979330,880750,10791,3258667,29353,220,652411,55,45,197105184,288323814,1696416
30,0.130581,idle,3.877629,943292,16084,3433750,29289,220,652411,55,45,197105184,288323814,3596458
31,0.134026,idle,3.327622,949083,11458,3550375,29417,220,652411,55,45,197105184,288323814,1660250
32,0.137881,idle,3.803040,939041,18667,3794625,29741,220,652411,55,45,197105184,288323814,3641249
33,0.141041,idle,3.322506,947750,12458,3486625,29289,221,652413,55,45,197105184,288323814,1740875
34,0.144301,idle,3.262500,923583,16791,3186292,29417,221,652413,55,45,197105184,288323814,1780749
35,0.147947,idle,3.537372,954792,9833,3507834,29353,221,652413,55,45,197105184,288323814,2101499
36,0.151227,idle,3.317085,990917,16625,3368208,29341,221,652413,55,45,197105184,288323814,1757499
37,0.154994,idle,3.858751,989167,12167,3757584,29417,221,652413,55,45,197105184,288323814,1491250
38,0.158783,idle,3.631874,942041,12292,3647750,29353,221,652413,55,45,197105184,288323814,2010499
39,0.162160,idle,3.448788,940292,16708,3359542,29289,221,652413,55,45,197105184,288323814,1580124
40,0.165929,idle,3.732795,961042,14916,3712791,29417,221,652413,55,45,197105184,288323814,2837583
41,0.170645,idle,4.577041,1044208,11292,4723083,39729,221,652413,55,45,197105184,288323814,1706208
42,0.174814,idle,4.333794,1071209,19625,4402625,37525,221,652413,55,45,197105184,288323814,3740000
43,0.178513,idle,3.700078,1016500,9250,3545167,29417,221,652413,55,45,197105184,288323814,1622625
44,0.182435,idle,3.947959,934250,11500,3911833,29353,221,652413,55,45,197105184,288323814,967416
45,0.186137,idle,3.552501,981167,11208,3536250,29289,221,652413,55,45,197105184,288323814,1962000
46,0.189724,idle,3.836168,1033292,23542,3857958,29417,221,652413,55,45,197105184,288323814,3585708
47,0.193035,idle,3.260169,921750,10208,3239584,29353,221,652413,55,45,197105184,288323814,1550291
48,0.196810,idle,3.700829,949125,11167,3732667,29289,221,652413,55,45,197105184,288323814,3526124
49,0.200429,idle,3.631626,953375,12708,3601542,29417,221,652413,55,45,197105184,288323814,1521375
50,0.204219,idle,3.708581,1015500,11167,3634834,29353,221,652413,55,45,197105184,288323814,1491416
51,0.208154,idle,3.965795,960458,19917,3997791,29289,221,652413,55,45,197105184,288323814,2936000
52,0.211497,idle,3.424497,984083,19417,3465500,29417,221,652413,55,45,197105184,288323814,1718124
53,0.215271,idle,3.828004,996334,11875,3761167,29353,221,652413,55,45,197105184,288323814,3473124
54,0.218495,idle,3.127750,938792,10541,3303250,29289,221,652413,55,45,197105184,288323814,1711625
55,0.222234,idle,3.852537,911208,16167,3767417,29417,221,652413,55,45,197105184,288323814,3434750
56,0.225453,idle,3.106711,923167,11833,3185458,29353,221,652413,55,45,197105184,288323814,1531791
57,0.228659,idle,3.209793,979500,16042,3068083,29289,221,652413,55,45,197105184,288323814,1481000
58,0.232060,idle,3.516539,939250,19584,3547125,29417,221,652413,55,45,197105184,288323814,2211374
59,0.235282,idle,3.144834,890584,11083,3137292,29353,221,652413,55,45,197105184,288323814,1730374
60,0.239403,idle,4.142751,961666,12708,4217250,29289,221,652413,55,45,197105184,288323814,3869000
61,0.242651,idle,3.300879,910833,11667,3207875,29417,221,652413,55,45,197105184,288323814,1816291
62,0.246168,idle,3.402998,891125,11542,3268667,29353,221,652413,55,45,197105184,288323814,3393791
63,0.249640,idle,3.587706,931666,17708,3713042,29289,221,652413,55,45,197105184,288323814,1538124
64,0.252979,idle,3.165710,908833,12625,3182542,29417,221,652413,55,45,197105184,288323814,1683249
65,0.256997,idle,3.903748,968958,14750,3854959,29741,221,652413,55,45,197105184,288323814,3453374
66,0.260482,idle,3.659169,1052834,14500,3718542,29289,222,652415,55,45,197105184,288323814,1725250
67,0.264336,idle,3.894707,976875,13500,3965084,29417,222,652415,55,45,197105184,288323814,3430000
68,0.267478,idle,3.104457,999625,9375,3017917,29353,222,652415,55,45,197105184,288323814,1626083
69,0.271862,idle,4.493793,955209,18041,4489250,29289,222,652415,55,45,197105184,288323814,1488500
70,0.275006,idle,3.067793,918375,10417,3083792,29417,222,652415,55,45,197105184,288323814,2139125
71,0.278273,idle,3.261579,947208,10625,3195917,29353,222,652415,55,45,197105184,288323814,1746499
72,0.281925,idle,3.767630,907833,10750,3734584,29289,222,652415,55,45,197105184,288323814,1699000
73,0.284964,idle,3.038832,890834,10292,3156583,29417,222,652415,55,45,197105184,288323814,1682458
74,0.288410,idle,3.420330,872292,10167,3318500,29353,222,652415,55,45,197105184,288323814,1508624
75,0.291507,idle,3.058837,904666,8833,3170792,29289,222,652415,55,45,197105184,288323814,1617625
76,0.294574,idle,3.003543,909834,16500,2987208,29417,222,652415,55,45,197105184,288323814,1468583
77,0.298342,idle,3.846209,961500,11292,3703375,29353,222,652415,55,45,197105184,288323814,2430499
78,0.301567,idle,3.241830,876500,12041,3225667,29289,222,652415,55,45,197105184,288323814,1702500
79,0.305244,idle,3.626630,920000,11542,3612709,29417,222,652415,55,45,197105184,288323814,3056624
80,0.308586,idle,3.327707,946875,10750,3352958,29353,222,652415,55,45,197105184,288323814,1645124
81,0.312138,idle,3.425751,968875,11458,3321958,29289,222,652415,55,45,197105184,288323814,1533208
82,0.315584,idle,3.700829,1001958,13000,3826208,29417,222,652415,55,45,197105184,288323814,2546124
83,0.318918,idle,3.155088,875000,9458,3132750,29353,222,652415,55,45,197105184,288323814,1694458
84,0.323456,idle,4.629620,955208,10458,4565584,39665,222,652415,55,45,197105184,288323814,3898208
85,0.327213,idle,3.745791,916917,11500,3932875,37653,222,652415,55,45,197105184,288323814,1623125
86,0.330914,idle,3.748668,910500,16458,3554792,29353,222,652415,55,45,197105184,288323814,1492166
87,0.333997,idle,2.994792,878875,11833,3117375,29289,222,652415,55,45,197105184,288323814,1932124
88,0.337656,idle,3.640420,951125,16834,3547625,29417,222,652415,55,45,197105184,288323814,2220916
89,0.341309,idle,3.662209,927625,10292,3650791,29353,222,652415,55,45,197105184,288323814,2425875
90,0.344650,idle,3.168538,971750,10792,3266292,29289,222,652415,55,45,197105184,288323814,1725291
91,0.348387,idle,3.989378,1059375,16833,3887667,29417,222,652415,55,45,197105184,288323814,2644125
92,0.351998,idle,3.566872,904833,12333,3545292,29405,222,652415,55,45,197105184,288323814,1758624
93,0.356366,idle,4.312585,932750,10417,4220791,29481,221,652413,55,45,197105184,288323814,2377416
94,0.359686,idle,3.443665,932291,11125,3541333,29417,221,652413,55,45,197105184,288323814,1634874
95,0.363785,idle,4.057915,896584,11292,3958375,29353,221,652413,55,45,197105184,288323814,1477166
96,0.367230,idle,3.341376,930084,12958,3438166,29289,221,652413,55,45,197105184,288323814,2087250
97,0.370939,idle,3.683376,949916,13958,3631958,29417,221,652413,55,45,197105184,288323814,1482874
98,0.374325,idle,3.523873,1014042,10709,3620417,29353,221,652413,55,45,197105184,288323814,2239583
99,0.377698,idle,3.152126,871375,9875,3021833,29677,221,652413,55,45,197105184,288323814,1806000
100,0.381188,idle,3.775042,916084,17958,3874000,29417,222,652415,55,45,197105184,288323814,3537375
101,0.383965,idle,2.684460,883375,8875,2773791,29353,222,652415,55,45,197105184,288323814,1526541
102,0.386938,idle,2.838499,965375,8167,2886291,29289,222,652415,55,45,197105184,288323814,3531541
103,0.390302,idle,3.442871,1032625,16791,3269250,29417,222,652415,55,45,197105184,288323814,1668874
104,0.393269,idle,3.129294,958125,15833,3161458,29353,222,652415,55,45,197105184,288323814,1736999
105,0.396648,idle,3.111501,863500,9334,3170584,29289,222,652415,55,45,197105184,288323814,3870666
106,0.399555,idle,3.164626,981625,12542,3141875,29417,222,652415,55,45,197105184,288323814,1872624
107,0.403155,idle,3.425206,860584,9459,2855709,29353,222,652415,55,45,197105184,288323814,1517208
108,0.406637,idle,3.639753,982625,11292,4105375,37449,222,652415,55,45,197105184,288323814,2059708
109,0.409507,idle,2.905329,877625,10916,2963000,29417,222,652415,55,45,197105184,288323814,1740375
110,0.412791,idle,3.177416,853875,8875,2965958,29353,222,652415,55,45,197105184,288323814,1514583
111,0.416251,idle,3.449043,906458,17458,3559000,29289,222,652415,55,45,197105184,288323814,1521499
112,0.419590,idle,3.200546,896708,10667,3275875,29417,222,652415,55,45,197105184,288323814,1486000
113,0.423274,idle,3.902834,997208,12334,3821416,29353,222,652415,55,45,197105184,288323814,3656874
114,0.426232,idle,2.886040,893375,9750,3050167,29289,221,652413,55,45,197105184,288323814,1576500
115,0.429659,idle,3.454245,949458,11750,3297917,29417,221,652413,55,45,197105184,288323814,1481166
116,0.433105,idle,3.456215,906500,10917,3440666,29353,221,652413,55,45,197105184,288323814,1527249
117,0.436836,idle,3.575163,886667,13792,3425958,29289,221,652413,55,45,197105184,288323814,1485916
118,0.440489,idle,3.864874,976584,10708,3955292,29417,221,652413,55,45,197105184,288323814,3176750
119,0.443723,idle,3.129046,863084,12667,3199667,29353,221,652413,55,45,197105184,288323814,1743833
120,0.447841,idle,4.186664,908000,10625,4085833,29289,221,652413,55,45,197105184,288323814,3527375
121,0.451034,idle,3.203168,884958,12875,3271000,29417,221,652413,55,45,197105184,288323814,1535875
122,0.454621,idle,3.548710,884167,10125,3552500,29353,221,652413,55,45,197105184,288323814,1478833
123,0.457968,idle,3.276120,933250,10916,3281917,29289,221,652413,55,45,197105184,288323814,2133208
124,0.461479,idle,3.498710,898334,10958,3307208,29417,221,652413,55,45,197105184,288323814,1503416
125,0.465131,idle,3.761253,885458,21667,3901042,29353,221,652413,55,45,197105184,288323814,2505541
126,0.468333,idle,3.206165,882583,11084,3252834,29289,221,652413,55,45,197105184,288323814,1735291
127,0.471970,idle,3.666291,855792,11375,3469458,29417,221,652413,55,45,197105184,288323814,3572999
128,0.476269,idle,4.184042,858084,11042,4451584,39729,221,652413,55,45,197105184,288323814,1618541
129,0.481092,idle,4.736373,911750,9750,4661000,37525,221,652413,55,45,197105184,288323814,1487083
130,0.484319,idle,3.381463,1042709,10125,3306417,29417,221,652413,55,45,197105184,288323814,2880000
131,0.487922,idle,3.593665,862542,10541,3416667,29353,220,652411,55,45,197105184,288323814,1121249
132,0.491635,idle,3.691709,886791,11375,3785250,29289,220,652411,55,45,197105184,288323814,2892749
133,0.494963,idle,3.305293,886875,10541,3295500,29805,220,652411,55,45,197105184,288323814,3765833
134,0.498735,idle,3.792000,923917,14500,3779791,29353,221,652413,55,45,197105184,288323814,3520500
135,0.502072,idle,3.325163,857542,10417,3390500,29289,221,652413,55,45,197105184,288323814,1722250
136,0.505955,idle,3.895458,907625,15083,4012583,29417,221,652413,55,45,197105184,288323814,3537208
137,0.509409,idle,3.216837,952666,9709,3084666,29353,221,652413,55,45,197105184,288323814,1570083
138,0.513678,idle,4.494494,1049917,21833,4411292,29289,221,652413,55,45,197105184,288323814,1516541
139,0.517255,idle,3.427877,936000,11125,3457541,29417,221,652413,55,45,197105184,288323814,2178000
140,0.521028,idle,3.929670,952250,20292,3994125,29353,221,652413,55,45,197105184,288323814,1688208
141,0.525088,idle,4.036706,934167,9750,3900167,29289,221,652413,55,45,197105184,288323814,2479874
142,0.528974,idle,3.847626,959292,11791,3837000,29417,221,652413,55,45,197105184,288323814,1689999
143,0.532681,idle,3.783496,972583,14875,3822250,29353,221,652413,55,45,197105184,288323814,2878624
144,0.536327,idle,3.463046,919417,11125,3406500,29289,221,652413,55,45,197105184,288323814,1737875
145,0.539932,idle,3.851205,948667,14042,3945458,29417,221,652413,55,45,197105184,288323814,2569625
146,0.542992,idle,2.967630,883583,10084,3026250,29353,221,652413,55,45,197105184,288323814,1772999
147,0.546544,idle,3.631583,919500,11959,3551250,29289,221,652413,55,45,197105184,288323814,3484874
148,0.549972,idle,3.408914,885292,11167,3411500,29417,221,652413,55,45,197105184,288323814,1547166
149,0.553372,idle,3.422747,908750,10875,3377041,29405,221,652413,55,45,197105184,288323814,1495958
150,0.557195,idle,3.738046,869125,12375,3673125,29289,221,652413,55,45,197105184,288323814,2889416
151,0.560625,idle,3.430789,879000,12167,3532250,29417,221,652413,55,45,197105184,288323814,1685000
152,0.564239,idle,3.718963,917583,14000,3794916,29353,221,652413,55,45,197105184,288323814,2982416
153,0.567295,idle,2.958581,865375,10708,2895334,29289,221,652413,55,45,197105184,288323814,1577499
154,0.570555,idle,3.161586,919000,13292,3040333,29721,221,652413,55,45,197105184,288323814,1500500
155,0.574108,idle,3.692666,961541,20458,3795709,29353,221,652413,55,45,197105184,288323814,2249041
156,0.577792,idle,3.519749,866792,12250,3392625,29289,221,652413,55,45,197105184,288323814,1707124
157,0.581421,idle,3.854500,988875,12583,3901750,29417,221,652413,55,45,197105184,288323814,3682375
158,0.584718,idle,3.270082,849583,11750,3269167,29353,221,652413,55,45,197105184,288323814,1552125
159,0.588316,idle,3.560665,874458,11416,3506625,29289,221,652413,55,45,197105184,288323814,1621000
160,0.591840,idle,3.558546,907666,11541,3628834,29417,221,652413,55,45,197105184,288323814,1829791
161,0.595074,idle,3.067666,882375,10834,3086792,29353,221,652413,55,45,197105184,288323814,1504541
162,0.598836,idle,3.820876,944167,20792,3608750,29289,221,652413,55,45,197105184,288323814,2766249
163,0.601991,idle,3.296620,886750,11000,3484125,29417,221,652413,55,45,197105184,288323814,1709499
164,0.606139,idle,3.934503,844500,11083,3978083,29353,221,652413,55,45,197105184,288323814,3668291
165,0.609520,idle,3.577629,1010041,10959,3459333,29289,221,652413,55,45,197105184,288323814,1747583
166,0.613107,idle,3.523498,882708,10292,3562250,29417,221,652413,55,45,197105184,288323814,1485125
167,0.616546,idle,3.396627,883833,10292,3364958,29741,221,652413,55,45,197105184,288323814,2224458
168,0.619868,idle,3.287748,879542,10208,3286333,29289,222,652415,55,45,197105184,288323814,1542749
169,0.623492,idle,3.690455,888167,13042,3627042,29417,222,652415,55,45,197105184,288323814,3099708
170,0.627477,idle,3.977083,963667,9250,4098916,39729,222,652415,55,45,197105184,288323814,1729750
171,0.631684,idle,4.238797,933541,10917,4249917,37525,222,652415,55,45,197105184,288323814,2999874
172,0.635166,idle,3.458369,903959,10917,3388125,29417,222,652415,55,45,197105184,288323814,1554124
173,0.639538,idle,4.142879,926291,11750,4217167,29353,222,652415,55,45,197105184,288323814,926083
174,0.642937,idle,3.460920,1010542,17584,3408792,29289,222,652415,55,45,197105184,288323814,2440166
175,0.646984,idle,4.186664,996208,18959,4050709,29417,222,652415,55,45,197105184,288323814,2527124
176,0.650219,idle,3.203876,944292,12542,3353209,29353,222,652415,55,45,197105184,288323814,2231499
177,0.653627,idle,3.358418,959458,18917,3070500,29289,222,652415,55,45,197105184,288323814,1783791
178,0.657573,idle,4.018665,974584,13292,4195708,29417,222,652415,55,45,197105184,288323814,2471124
179,0.660900,idle,3.309871,896834,10584,3405459,29353,222,652415,55,45,197105184,288323814,1735416
180,0.664850,idle,3.992418,943750,12000,3754250,29289,222,652415,55,45,197105184,288323814,3239624
181,0.668310,idle,3.499667,920084,12958,3662042,29417,222,652415,55,45,197105184,288323814,1540374
182,0.672466,idle,3.963627,899334,14083,3942458,29353,222,652415,55,45,197105184,288323814,1511125
183,0.676353,idle,3.936664,973625,21958,3825500,29289,222,652415,55,45,197105184,288323814,1818958
184,0.679885,idle,3.725794,950125,13125,3822083,29417,222,652415,55,45,197105184,288323814,1511374
185,0.682971,idle,3.009581,857625,10500,3134875,29353,222,652415,55,45,197105184,288323814,2150750
186,0.686115,idle,3.075461,874167,16375,3007750,29289,222,652415,55,45,197105184,288323814,1528583
187,0.689899,idle,3.900914,963250,11041,3718208,29417,221,652413,55,45,197105184,288323814,2791208
188,0.693103,idle,3.152629,890708,10875,3320250,29353,221,652413,55,45,197105184,288323814,1717541
189,0.696942,idle,3.643835,873833,17875,3601875,29289,221,652413,55,45,197105184,288323814,3031916
190,0.700928,idle,4.108376,1006708,14667,3985542,29417,221,652413,55,45,197105184,288323814,1871499
191,0.704533,idle,3.637082,918917,21750,3569708,29353,221,652413,55,45,197105184,288323814,1516500
192,0.707576,idle,3.113662,888083,15833,3320958,29289,221,652413,55,45,197105184,288323814,2809458
193,0.710364,idle,2.866504,886000,13792,2902291,29417,221,652413,55,45,197105184,288323814,1800833
194,0.714208,idle,3.794749,840583,9125,3774958,29353,221,652413,55,45,197105184,288323814,3871249
195,0.717077,idle,2.817248,914625,8875,2816250,29289,221,652413,55,45,197105184,288323814,1730374
196,0.720120,idle,3.132922,828583,10959,3058666,29417,221,652413,55,45,197105184,288323814,1493250
197,0.723414,idle,3.267829,853708,9208,3355875,29353,221,652413,55,45,197105184,288323814,2348624
198,0.726107,idle,2.713457,843666,14583,2741333,29289,221,652413,55,45,197105184,288323814,1702208
199,0.729123,idle,2.982504,865375,7542,2832417,29417,221,652413,55,45,197105184,288323814,2727791
200,0.732170,idle,3.010417,901625,9250,3082333,29353,221,652413,55,45,197105184,288323814,1544333
201,0.734768,idle,2.661621,842208,14750,2768417,29677,221,652413,55,45,197105184,288323814,1495958
202,0.738406,idle,3.460750,877041,9959,3220083,29417,222,652415,55,45,197105184,288323814,3788499
203,0.741444,idle,3.172250,892000,10292,3316584,29353,222,652415,55,45,197105184,288323814,1733125
204,0.744353,idle,2.838379,867792,13792,2857959,29289,222,652415,55,45,197105184,288323814,1505000
205,0.747607,idle,3.350453,964666,9000,3171917,29417,222,652415,55,45,197105184,288323814,2489125
206,0.751050,idle,3.105839,887125,10125,3022042,29353,222,652415,55,45,197105184,288323814,1692000
207,0.754873,idle,4.132164,1071792,17083,4240167,29341,222,652415,55,45,197105184,288323814,3850041
208,0.758548,idle,3.560877,860042,14500,3567292,29417,222,652415,55,45,197105184,288323814,2344500
209,0.761895,idle,3.217871,936250,11375,3185750,29353,222,652415,55,45,197105184,288323814,1849250
210,0.765397,idle,3.762670,1007834,21500,3610083,29289,222,652415,55,45,197105184,288323814,2985500
211,0.768681,idle,3.183829,859542,11417,3308375,29417,222,652415,55,45,197105184,288323814,1727125
212,0.772328,idle,3.764335,970292,12167,3754500,29353,222,652415,55,45,197105184,288323814,3835875
213,0.776180,idle,3.621875,873125,11209,3466375,29289,222,652415,55,45,197105184,288323814,1852166
214,0.781030,idle,4.988208,894500,16250,5231541,39793,222,652415,55,45,197105184,288323814,3439374
215,0.785489,idle,3.786919,885375,18666,3736208,37589,222,652415,55,45,197105184,288323814,1596124
216,0.789539,idle,4.718289,1540500,13583,4623542,29289,222,652415,55,45,197105184,288323814,1807374
217,0.793129,idle,3.461791,926041,10834,3464334,29417,222,652415,55,45,197105184,288323814,1699041
218,0.797832,idle,4.826998,1065875,11250,4788833,29353,222,652415,55,45,197105184,288323814,2364666
219,0.801233,idle,3.419211,878083,11584,3453542,29289,222,652415,55,45,197105184,288323814,2227541
220,0.805286,idle,4.051665,912958,11375,3952125,29417,222,652415,55,45,197105184,288323814,1579124
221,0.808825,idle,3.560289,924417,10834,3685125,29353,221,652413,55,45,197105184,288323814,2085875
