frame,seconds,phase,engine_frame_ms,COO.ZoneRenderer.LateUpdate,COO.Input.Update,Main Thread,GC Allocated In Frame,Draw Calls Count,Triangles Count,SetPass Calls Count,Render Textures Count,Render Textures Bytes,Texture Memory,GPU Frame Time
0,0.001072,idle,3.068417,856458,14209,2856416,29417,222,652415,51,45,197105184,303021798,1658249
1,0.004332,idle,3.329705,782833,10375,3345042,30571,222,652415,51,45,197105184,303021798,1548124
2,0.007210,idle,2.918169,832416,12209,3016833,29289,222,652415,51,45,197105184,303021798,1515041
3,0.011195,idle,3.804209,846292,10042,3728167,29417,222,652415,51,45,197105184,303021798,1489208
4,0.014304,idle,3.330081,1018083,12375,3302833,29353,222,652415,51,45,197105184,303021798,1473041
5,0.017327,idle,2.977920,813125,12083,3048209,30433,222,652415,51,45,197105184,303021798,1697125
6,0.020605,idle,3.317248,831083,23334,3231334,29417,222,652415,51,45,197105184,303021798,1494250
7,0.023665,idle,2.981625,822875,11041,2990500,29353,222,652415,51,45,197105184,303021798,1503999
8,0.026580,idle,2.964753,796916,10625,3073208,29289,222,652415,51,45,197105184,303021798,1503624
9,0.029829,idle,3.301162,848208,12667,3143917,29417,222,652415,51,45,197105184,303021798,1457333
10,0.032742,idle,2.900921,807792,12333,2967125,29353,222,652415,51,45,197105184,303021798,1512750
11,0.035957,idle,3.117333,819333,10667,3050083,29289,222,652415,51,45,197105184,303021798,1485333
12,0.039611,idle,3.754082,880625,13792,3765667,29417,222,652415,51,45,197105184,303021798,1507499
13,0.042714,idle,3.021790,819459,11208,3005125,29353,222,652415,51,45,197105184,303021798,1710625
14,0.046049,idle,3.348129,829208,13583,3306500,29289,222,652415,51,45,197105184,303021798,1537750
15,0.048966,idle,2.957745,864000,12666,3039250,29417,222,652415,51,45,197105184,303021798,1539749
16,0.052037,idle,3.072165,806375,11000,2923333,29353,222,652415,51,45,197105184,303021798,1484166
17,0.055151,idle,3.159127,842709,9875,3213542,29289,222,652415,51,45,197105184,303021798,1514916
18,0.058808,idle,3.624880,782167,11125,3705959,39793,222,652415,51,45,197105184,303021798,1703999
19,0.062825,idle,3.932660,834875,9792,3926916,37589,222,652415,51,45,197105184,303021798,1520749
20,0.065791,idle,2.997754,810542,10291,3084375,29289,222,652415,51,45,197105184,303021798,1541375
21,0.069358,idle,3.529252,903584,8292,3431875,29417,222,652415,51,45,197105184,303021798,1111666
22,0.072500,idle,3.218750,923166,12292,3152208,29353,222,652415,51,45,197105184,303021798,1915708
23,0.075351,idle,2.785041,817375,12666,2901042,29289,222,652415,51,45,197105184,303021798,2338208
24,0.078856,idle,3.616582,875708,9625,3505791,29417,222,652415,51,45,197105184,303021798,1496125
25,0.082003,idle,3.053791,793958,10333,3012375,29353,222,652415,51,45,197105184,303021798,1525666
26,0.085021,idle,3.064293,803458,10667,3198208,29289,222,652415,51,45,197105184,303021798,2060708
27,0.088183,idle,3.211373,811917,14959,3082125,29417,222,652415,51,45,197105184,303021798,1507000
28,0.091167,idle,2.878040,802875,10125,2984875,29353,222,652415,51,45,197105184,303021798,1519749
29,0.094150,idle,2.974291,864375,18000,2934167,29289,222,652415,51,45,197105184,303021798,1498083
30,0.097130,idle,3.118793,881875,14500,3074000,29417,222,652415,51,45,197105184,303021798,1504208
31,0.099864,idle,2.687004,770416,10708,2789250,29353,222,652415,51,45,197105184,303021798,1701458
32,0.102814,idle,2.727664,809333,14625,2742833,29289,222,652415,51,45,197105184,303021798,1517041
33,0.106172,idle,3.607582,877667,18416,3436375,29417,222,652415,51,45,197105184,303021798,1530500
34,0.108817,idle,2.648165,771792,10125,2806250,29741,221,652413,51,45,197105184,303021798,1715250
35,0.111838,idle,3.002629,801417,11292,2835625,29773,222,652415,51,45,197105184,303021798,1570250
36,0.114609,idle,2.836331,792334,12208,2944875,29417,222,652415,51,45,197105184,303021798,1530874
37,0.117379,idle,2.756540,757208,11000,2631875,29353,222,652415,51,45,197105184,303021798,1490166
38,0.120283,idle,2.846627,768459,9166,2943542,29289,222,652415,51,45,197105184,303021798,1560541
39,0.122933,idle,2.615087,778500,15917,2701792,29417,222,652415,51,45,197105184,303021798,1500291
