frame,seconds,phase,engine_frame_ms,COO.ZoneRenderer.LateUpdate,COO.Input.Update,Main Thread,GC Allocated In Frame,Draw Calls Count,Triangles Count,SetPass Calls Count,Render Textures Count,Render Textures Bytes,Texture Memory,GPU Frame Time
0,0.001212,idle,3.101205,817458,10250,3190875,29353,223,652417,51,45,197105184,303021798,1730874
1,0.004278,idle,3.422917,856541,13583,3450166,30507,223,652417,51,45,197105184,303021798,1580000
2,0.007175,idle,2.946379,863917,11416,2910709,29417,222,652415,51,45,197105184,303021798,1501416
3,0.010125,idle,2.732497,857167,9708,2797458,29353,222,652415,51,45,197105184,303021798,1512125
4,0.013309,idle,3.365916,938000,17375,3293500,29289,222,652415,51,45,197105184,303021798,1522124
5,0.016172,idle,2.959921,822250,16375,2924583,29417,222,652415,51,45,197105184,303021798,1701000
6,0.019295,idle,2.967127,780666,9375,2917625,29353,222,652415,51,45,197105184,303021798,1587666
7,0.022078,idle,2.865207,825584,11542,3026375,29289,222,652415,51,45,197105184,303021798,1535333
8,0.025102,idle,3.081541,854709,8958,2954084,29417,222,652415,51,45,197105184,303021798,1556000
9,0.028079,idle,2.966000,789375,11000,2955250,29353,222,652415,51,45,197105184,303021798,1579333
10,0.030987,idle,2.875751,792292,11083,2800292,29289,222,652415,51,45,197105184,303021798,1547500
11,0.033723,idle,2.738499,815458,10042,2967917,29417,222,652415,51,45,197105184,303021798,1536583
12,0.036727,idle,3.000957,831958,13458,2917041,29353,222,652415,51,45,197105184,303021798,1518000
13,0.039924,idle,3.202579,810000,16208,3229750,29289,222,652415,51,45,197105184,303021798,1523124
14,0.042793,idle,2.799589,780333,7375,2691542,29417,222,652415,51,45,197105184,303021798,1472916
15,0.045706,idle,2.962542,843750,11625,3060709,29353,222,652415,51,45,197105184,303021798,1509250
16,0.048392,idle,2.696081,812875,14958,2750417,29289,222,652415,51,45,197105184,303021798,1752166
17,0.051226,idle,2.785835,855000,7666,2632417,29417,222,652415,51,45,197105184,303021798,1516249
18,0.054912,idle,3.723916,855708,9416,3836583,39729,222,652415,51,45,197105184,303021798,1531250
19,0.058066,idle,3.235162,835125,8541,3245583,37525,222,652415,51,45,197105184,303021798,1691500
20,0.061060,idle,2.864172,797917,7917,2717958,29417,222,652415,51,45,197105184,303021798,1511499
21,0.063780,idle,2.788832,798917,9958,2895583,29353,222,652415,51,45,197105184,303021798,943333
22,0.066478,idle,2.727459,797875,13834,2784291,29289,222,652415,51,45,197105184,303021798,1766625
23,0.069550,idle,2.993750,812958,11458,2717000,29417,222,652415,51,45,197105184,303021798,2223458
24,0.072315,idle,2.705123,824792,12625,2974500,29353,222,652415,51,45,197105184,303021798,1512291
25,0.075040,idle,2.878416,866708,11958,2752125,29289,222,652415,51,45,197105184,303021798,1475625
26,0.078011,idle,2.952501,768708,10959,2896583,29417,222,652415,51,45,197105184,303021798,1618916
27,0.080859,idle,2.735835,799667,9583,2844583,29353,222,652415,51,45,197105184,303021798,1582124
28,0.083545,idle,2.790334,793958,14709,2843375,29289,222,652415,51,45,197105184,303021798,1486458
29,0.086522,idle,2.968622,827625,9916,2752208,29417,222,652415,51,45,197105184,303021798,1507333
30,0.090303,idle,3.598958,822416,10541,3608500,29353,222,652415,51,45,197105184,303021798,1540875
31,0.093707,idle,3.168998,980500,12041,3337708,29289,222,652415,51,45,197105184,303021798,1473249
32,0.097223,idle,3.915582,1075208,27334,3669625,29417,222,652415,51,45,197105184,303021798,1509833
33,0.100672,idle,3.269416,819917,12292,3304667,29353,222,652415,51,45,197105184,303021798,1723708
34,0.104211,idle,3.578919,912583,12667,3609542,29289,222,652415,51,45,197105184,303021798,1675083
35,0.107362,idle,3.175248,874583,13417,3150083,29805,222,652415,51,45,197105184,303021798,1519000
36,0.110620,idle,3.256711,915792,11667,3320667,29353,223,652417,51,45,197105184,303021798,1489375
37,0.113595,idle,3.015334,886209,12166,3065375,29289,223,652417,51,45,197105184,303021798,1523791
38,0.116557,idle,2.947832,857166,15083,2939791,29417,223,652417,51,45,197105184,303021798,1695916
39,0.120016,idle,3.414130,893167,14833,3214375,29353,223,652417,51,45,197105184,303021798,1506416
40,0.123606,idle,3.636954,888833,10417,3758541,29289,223,652417,51,45,197105184,303021798,1523166
41,0.126825,idle,3.108461,887708,13000,3086000,29417,223,652417,51,45,197105184,303021798,1680249
42,0.130154,idle,3.497286,902167,16459,3400542,29353,223,652417,51,45,197105184,303021798,1534083
43,0.133288,idle,3.152877,846625,10834,3235500,29289,223,652417,51,45,197105184,303021798,1696749
44,0.136504,idle,3.222463,858333,10083,3146125,29417,223,652417,51,45,197105184,303021798,1532250
45,0.140256,idle,3.625914,834917,10417,3711084,29353,223,652417,51,45,197105184,303021798,1530499
46,0.143646,idle,3.415001,869084,12417,3233250,29289,223,652417,51,45,197105184,303021798,1497125
47,0.146930,idle,3.340873,901250,13250,3470333,29417,223,652417,51,45,197105184,303021798,1509500
48,0.150395,idle,3.226502,880584,10792,3215333,29353,223,652417,51,45,197105184,303021798,1696041
49,0.154243,idle,4.076956,1081833,15583,3917875,29289,223,652417,51,45,197105184,303021798,1539874
50,0.157510,idle,3.198292,866250,11417,3326708,29417,223,652417,51,45,197105184,303021798,1511041
51,0.161154,idle,3.643169,890041,16167,3635583,29353,223,652417,51,45,197105184,303021798,1525750
52,0.164657,idle,3.504663,872208,10583,3331500,29289,223,652417,51,45,197105184,303021798,1545624
53,0.168152,idle,3.470833,899750,13208,3589125,29417,223,652417,51,45,197105184,303021798,1712791
54,0.171618,idle,3.579167,943042,15083,3544125,29353,223,652417,51,45,197105184,303021798,1550875
55,0.175010,idle,3.416001,847959,11792,3446209,29289,222,652415,51,45,197105184,303021798,1542125
56,0.178386,idle,3.331626,838208,10000,3315375,29417,222,652415,51,45,197105184,303021798,1525166
57,0.181924,idle,3.450914,867125,11292,3543791,29353,222,652415,51,45,197105184,303021798,1574124
